Wall time,Step,Value
1733107138.8817127,0,1.0
1733107139.1834862,1,1.0
1733107139.480956,2,1.0
1733107139.7837021,3,1.0
1733107140.090055,4,1.0
1733107140.388732,5,1.0
1733107140.6865232,6,1.0
1733107140.9848871,7,1.0
1733107141.2815053,8,1.0
1733107141.584726,9,1.0
1733107141.8823738,10,1.0
1733107142.1804752,11,1.0
1733107142.4790094,12,1.0
1733107142.793809,13,1.0
1733107143.0919354,14,1.0
1733107143.3896024,15,1.0
1733107143.6863544,16,1.0
1733107143.983818,17,1.0
1733107144.280577,18,1.0
1733107144.5801609,19,1.0
1733107144.8775723,20,1.0
1733107145.1777933,21,1.0
1733107145.4752848,22,1.0
1733107145.772374,23,1.0
1733107146.0695586,24,1.0
1733107146.3663218,25,1.0
1733107146.6761112,26,1.0
1733107146.9759777,27,1.0
1733107147.2743378,28,1.0
1733107147.5703797,29,1.0
1733107147.8671336,30,1.0
1733107148.164087,31,1.0
1733107148.461296,32,1.0
1733107148.7574522,33,1.0
1733107149.0561106,34,1.0
1733107149.352804,35,1.0
1733107149.6500938,36,1.0
1733107149.947062,37,1.0
1733107150.2441819,38,1.0
1733107150.5426846,39,1.0
1733107150.840303,40,1.0
1733107151.1375806,41,1.0
1733107151.4347167,42,1.0
1733107151.7416174,43,1.0
1733107152.0389817,44,1.0
1733107152.348696,45,1.0
1733107152.6449873,46,1.0
1733107152.9420974,47,1.0
1733107153.2387302,48,1.0
1733107153.5351188,49,1.0
1733107153.8353748,50,1.0
1733107154.133673,51,1.0
1733107154.4318013,52,1.0
1733107154.728689,53,1.0
1733107155.0266597,54,1.0
1733107155.328212,55,1.0
1733107155.6260836,56,1.0
1733107155.9608138,57,1.0
1733107156.2578986,58,1.0
1733107156.5554922,59,1.0
1733107156.8606727,60,1.0
1733107157.1581843,61,1.0
1733107157.4582698,62,1.0
1733107157.7601533,63,1.0
1733107158.0946908,64,1.0
1733107158.3957632,65,1.0
1733107158.6961286,66,1.0
1733107158.9935102,67,1.0
1733107159.2936847,68,1.0
1733107159.594701,69,1.0
1733107159.9334712,70,1.0
1733107160.2303526,71,1.0
1733107160.5314934,72,1.0
1733107160.8284256,73,1.0
1733107161.1259758,74,1.0
1733107161.4221394,75,1.0
1733107161.7554207,76,1.0
1733107162.0621705,77,1.0
1733107162.367223,78,1.0
1733107162.6708565,79,1.0
1733107162.982809,80,1.0
1733107163.2796187,81,1.0
1733107163.5768187,82,1.0
1733107163.8737328,83,1.0
1733107164.1712275,84,1.0
1733107164.4696786,85,1.0
1733107164.7702527,86,1.0
1733107165.103817,87,1.0
1733107165.4049823,88,1.0
1733107165.7017457,89,1.0
1733107165.998385,90,1.0
1733107166.313393,91,1.0
1733107166.6119018,92,1.0
1733107166.9366443,93,1.0
1733107167.2426937,94,1.0
1733107167.5522625,95,1.0
1733107167.8609574,96,1.0
1733107168.163927,97,1.0
1733107168.4618866,98,1.0
1733107168.8024628,99,1.0
1733107169.1077824,100,1.0
1733107169.4121292,101,1.0
1733107169.7325423,102,1.0
1733107170.0438519,103,1.0
1733107170.3629599,104,1.0
1733107170.6851506,105,1.0
1733107171.006621,106,1.0
1733107171.360157,107,1.0
1733107171.690252,108,1.0
1733107172.026649,109,1.0
1733107172.358153,110,1.0
1733107172.6715827,111,1.0
1733107172.9746115,112,1.0
1733107173.2755244,113,1.0
1733107173.5735056,114,1.0
1733107173.8717055,115,1.0
1733107174.2077954,116,1.0
1733107174.5062525,117,1.0
1733107174.8265738,118,1.0
1733107175.1284146,119,1.0
1733107175.4332829,120,1.0
1733107175.7608,121,1.0
1733107176.0681527,122,1.0
1733107176.406486,123,1.0
1733107176.7306762,124,1.0
1733107177.0532682,125,1.0
1733107177.3774772,126,1.0
1733107177.7294967,127,1.0
1733107178.044108,128,1.0
1733107178.3682806,129,1.0
1733107178.6681943,130,1.0
1733107178.977521,131,1.0
1733107179.2764938,132,1.0
1733107179.6108313,133,1.0
1733107179.909389,134,1.0
1733107180.2115903,135,1.0
1733107180.5121896,136,1.0
1733107180.8114686,137,1.0
1733107181.1124773,138,1.0
1733107181.4145274,139,1.0
1733107181.7186346,140,1.0
1733107182.056224,141,1.0
1733107182.3849492,142,1.0
1733107182.6893942,143,1.0
1733107182.989264,144,1.0
1733107183.2887192,145,1.0
1733107183.5883958,146,1.0
1733107183.8901405,147,1.0
1733107184.1908307,148,1.0
1733107184.528288,149,1.0
1733107184.82699,150,1.0
1733107185.1266754,151,1.0
1733107185.4256876,152,1.0
1733107185.7247066,153,1.0
1733107186.0285926,154,1.0
1733107186.3282835,155,1.0
1733107186.6285288,156,1.0
1733107186.941514,157,1.0
1733107187.2413633,158,1.0
1733107187.544044,159,1.0
1733107187.848561,160,1.0
1733107188.1491704,161,1.0
1733107188.4479196,162,1.0
1733107188.7513022,163,1.0
1733107189.0886147,164,1.0
1733107189.3881917,165,1.0
1733107189.6872385,166,1.0
1733107189.9864206,167,1.0
1733107190.3269014,168,1.0
1733107190.627206,169,1.0
1733107190.9270256,170,1.0
1733107191.228378,171,1.0
1733107191.5662048,172,1.0
1733107191.8657076,173,1.0
1733107192.1813526,174,1.0
1733107192.4816458,175,1.0
1733107192.7915275,176,1.0
1733107193.0956285,177,1.0
1733107193.398288,178,1.0
1733107193.6977525,179,1.0
1733107193.9970527,180,1.0
1733107194.2968078,181,1.0
1733107194.5964937,182,1.0
1733107194.896223,183,1.0
1733107195.1967292,184,1.0
1733107195.4971418,185,1.0
1733107195.7971604,186,1.0
1733107196.0968792,187,1.0
1733107196.3959792,188,1.0
1733107196.6965625,189,1.0
1733107197.0350084,190,1.0
1733107197.3418767,191,1.0
1733107197.6461842,192,1.0
1733107197.9544883,193,1.0
1733107198.2542155,194,1.0
1733107198.55358,195,1.0
1733107198.8526344,196,1.0
1733107199.152631,197,1.0
1733107199.452679,198,1.0
1733107199.7900085,199,1.0
1733107200.0911117,200,1.0
1733107200.3925369,201,1.0
1733107200.6934996,202,1.0
1733107200.9935534,203,1.0
1733107201.294972,204,1.0
1733107201.607567,205,1.0
1733107201.9080448,206,1.0
1733107202.2108898,207,1.0
