Wall time,Step,Value
1733101914.950963,0,1.0
1733101916.3910725,1,1.0
1733101917.8571136,2,1.0
1733101919.2862551,3,1.0
1733101920.6966417,4,1.0
1733101922.1210527,5,1.0
1733101923.5599604,6,1.0
1733101925.0117245,7,1.0
1733101926.3767855,8,1.0
1733101927.7485104,9,1.0
1733101929.1513176,10,1.0
1733101930.580501,11,1.0
1733101931.9883492,12,1.0
1733101933.365562,13,1.0
1733101934.8044043,14,1.0
1733101936.2474148,15,1.0
1733101937.6616096,16,1.0
1733101939.043281,17,1.0
1733101940.484281,18,1.0
1733101942.0018027,19,1.0
1733101943.4123662,20,1.0
1733101944.8203204,21,1.0
1733101946.2203991,22,1.0
1733101947.5870852,23,1.0
1733101950.39478,25,1.0
1733101951.8350382,26,1.0
1733101953.2437766,27,1.0
1733101954.7741315,28,1.0
1733101956.2107522,29,1.0
1733101957.601223,30,1.0
1733101958.996116,31,1.0
1733101960.437702,32,1.0
1733101961.9182003,33,1.0
1733101963.3568747,34,1.0
1733101964.8687587,35,1.0
1733101966.2170665,36,1.0
1733101967.6135504,37,1.0
1733101969.003729,38,1.0
1733101970.4294817,39,1.0
1733101971.8407512,40,1.0
1733101973.2369597,41,1.0
1733101974.6312244,42,1.0
1733101976.0658915,43,1.0
1733101977.5643249,44,1.0
1733101979.0639496,45,1.0
1733101980.4747787,46,1.0
1733101981.888938,47,1.0
1733101983.318947,48,1.0
1733101984.7296371,49,1.0
1733101986.2372656,50,1.0
1733101987.723819,51,1.0
1733101989.202139,52,1.0
1733101990.6742704,53,1.0
1733101992.1184766,54,1.0
1733101993.6017137,55,1.0
1733101995.0713682,56,1.0
1733101996.5236678,57,1.0
1733101998.0124445,58,1.0
1733101999.4607425,59,1.0
1733102000.9276843,60,1.0
1733102002.5033805,61,1.0
1733102003.966336,62,1.0
1733102005.426676,63,1.0
1733102006.8623612,64,1.0
1733102008.3148897,65,1.0
1733102009.7011623,66,1.0
1733102011.1791902,67,1.0
1733102012.6490543,68,1.0
1733102014.0962539,69,1.0
1733102015.6435642,70,1.0
1733102017.1560645,71,1.0
1733102018.683236,72,1.0
1733102020.166659,73,1.0
1733102021.6064312,74,1.0
1733102022.9879463,75,1.0
1733102024.498669,76,1.0
1733102025.9817226,77,1.0
1733102027.5081267,78,1.0
1733102028.9804165,79,1.0
1733102030.4801989,80,1.0
1733102031.8802493,81,1.0
1733102033.4586098,82,1.0
1733102034.9747233,83,1.0
1733102036.4479368,84,1.0
1733102037.8986344,85,1.0
1733102039.3976688,86,1.0
1733102040.8745542,87,1.0
1733102042.3341315,88,1.0
1733102043.825941,89,1.0
1733102045.3700104,90,1.0
1733102046.813059,91,1.0
1733102048.2488916,92,1.0
1733102049.7310774,93,1.0
1733102051.1655924,94,1.0
1733102052.6411326,95,1.0
1733102054.083384,96,1.0
1733102055.5625083,97,1.0
1733102056.9965417,98,1.0
1733102058.4766946,99,1.0
1733102059.9039214,100,1.0
1733102061.3422232,101,1.0
1733102062.7839968,102,1.0
1733102064.2305436,103,1.0
1733102065.732766,104,1.0
1733102067.2049344,105,1.0
1733102068.6856165,106,1.0
1733102070.1439466,107,1.0
1733102071.6032653,108,1.0
1733102073.0425248,109,1.0
1733102074.513911,110,1.0
1733102075.9667573,111,1.0
1733102077.4447074,112,1.0
1733102078.9998882,113,1.0
1733102080.4759464,114,1.0
1733102081.9223628,115,1.0
1733102083.3143866,116,1.0
1733102084.738296,117,1.0
1733102086.1967247,118,1.0
1733102087.6458004,119,1.0
1733102089.1243365,120,1.0
1733102090.5623517,121,1.0
1733102092.055156,122,1.0
1733102093.5209303,123,1.0
1733102094.9437182,124,1.0
1733102096.343903,125,1.0
1733102097.798009,126,1.0
1733102099.263377,127,1.0
1733102100.7069082,128,1.0
1733102102.2342122,129,1.0
1733102103.724101,130,1.0
1733102105.17237,131,1.0
1733102106.6574564,132,1.0
1733102108.096215,133,1.0
1733102109.5809386,134,1.0
1733102111.0248082,135,1.0
1733102112.5628772,136,1.0
1733102114.128217,137,1.0
1733102115.6805418,138,1.0
1733102117.2168458,139,1.0
1733102118.7106285,140,1.0
1733102120.2322063,141,1.0
1733102121.7057564,142,1.0
1733102123.1898546,143,1.0
1733102124.6433895,144,1.0
1733102126.1108696,145,1.0
1733102127.5494788,146,1.0
1733102128.9926472,147,1.0
1733102130.4331555,148,1.0
1733102131.8995948,149,1.0
1733102133.3486207,150,1.0
1733102134.8715196,151,1.0
1733102136.3157837,152,1.0
1733102137.698029,153,1.0
1733102139.1902244,154,1.0
1733102140.6478233,155,1.0
1733102142.1257088,156,1.0
1733102143.5650146,157,1.0
1733102145.044135,158,1.0
1733102146.5744333,159,1.0
1733102148.015289,160,1.0
1733102149.4883933,161,1.0
1733102150.9410264,162,1.0
1733102152.384526,163,1.0
1733102153.8565483,164,1.0
1733102155.3598247,165,1.0
1733102156.8434331,166,1.0
1733102158.3077166,167,1.0
1733102159.744163,168,1.0
1733102161.1416347,169,1.0
1733102162.6359072,170,1.0
1733102164.1147432,171,1.0
1733102165.5864227,172,1.0
1733102167.070507,173,1.0
1733102168.5155838,174,1.0
1733102169.9768605,175,1.0
1733102171.4577732,176,1.0
1733102172.9375813,177,1.0
1733102174.3831596,178,1.0
1733102175.8224177,179,1.0
1733102177.252599,180,1.0
1733102178.6830604,181,1.0
1733102180.1627712,182,1.0
1733102181.620161,183,1.0
1733102183.0940177,184,1.0
1733102184.5256658,185,1.0
1733102185.9931934,186,1.0
1733102187.4846306,187,1.0
1733102188.9267495,188,1.0
1733102190.32732,189,1.0
1733102191.796185,190,1.0
1733102193.270252,191,1.0
1733102194.7430415,192,1.0
1733102196.186404,193,1.0
1733102197.6541612,194,1.0
1733102199.1395435,195,1.0
1733102200.6021338,196,1.0
1733102202.0987284,197,1.0
1733102203.4942334,198,1.0
1733102204.9249303,199,1.0
1733102206.4091907,200,1.0
1733102207.875072,201,1.0
1733102209.3455083,202,1.0
1733102210.7840636,203,1.0
1733102212.2125618,204,1.0
1733102213.6194909,205,1.0
1733102215.1804373,206,1.0
1733102216.6834683,207,1.0
1733102218.1397321,208,1.0
1733102219.5482864,209,1.0
1733102221.0346718,210,1.0
1733102222.5285099,211,1.0
1733102223.9792142,212,1.0
1733102225.4099102,213,1.0
1733102226.8391027,214,1.0
1733102228.3041682,215,1.0
1733102229.768146,216,1.0
1733102231.227778,217,1.0
1733102232.6722896,218,1.0
1733102234.0723996,219,1.0
1733102235.5576255,220,1.0
1733102237.0436177,221,1.0
1733102238.551338,222,1.0
1733102240.0724266,223,1.0
1733102241.5339441,224,1.0
1733102242.9401586,225,1.0
1733102244.4391873,226,1.0
1733102245.8986437,227,1.0
1733102247.2961016,228,1.0
1733102248.7548215,229,1.0
1733102250.1795824,230,1.0
1733102251.6802976,231,1.0
1733102253.1275723,232,1.0
1733102254.5514174,233,1.0
1733102256.0430799,234,1.0
1733102257.5120142,235,1.0
1733102258.9687762,236,1.0
1733102260.4588504,237,1.0
1733102261.8856137,238,1.0
1733102263.333989,239,1.0
1733102264.8161817,240,1.0
1733102266.3622396,241,1.0
1733102267.8374991,242,1.0
1733102269.3065271,243,1.0
1733102270.7648203,244,1.0
1733102272.2645338,245,1.0
1733102273.7006588,246,1.0
1733102275.1594925,247,1.0
1733102276.5443463,248,1.0
1733102277.9584203,249,1.0
1733102279.3799286,250,1.0
1733102280.763593,251,1.0
1733102281.9962537,252,1.0
1733102283.2419186,253,1.0
1733102284.4912667,254,0.3333333432674408
1733102285.74766,255,1.0
1733102286.957788,256,1.0
1733102288.12707,257,1.0
1733102289.3398194,258,1.0
1733102290.6023796,259,1.0
1733102291.836137,260,1.0
1733102293.1005976,261,1.0
1733102294.353438,262,1.0
1733102295.5633118,263,1.0
1733102296.6911614,264,1.0
1733102297.812125,265,1.0
1733102298.9034863,266,1.0
1733102300.0337229,267,1.0
1733102301.1565926,268,1.0
1733102302.2650962,269,1.0
1733102303.37893,270,1.0
1733102304.4682498,271,1.0
1733102305.6205873,272,1.0
1733102306.7275221,273,1.0
1733102307.9194922,274,1.0
1733102309.1928627,275,1.0
1733102310.434463,276,1.0
1733102311.678227,277,1.0
1733102312.896495,278,1.0
1733102314.1441367,279,1.0
1733102315.369467,280,1.0
1733102316.6167257,281,1.0
1733102317.9275353,282,1.0
1733102319.2635055,283,1.0
1733102320.6611874,284,1.0
1733102322.1973212,285,1.0
1733102323.7035787,286,1.0
1733102325.252293,287,1.0
1733102326.870634,288,1.0
1733102328.3068807,289,1.0
1733102329.748749,290,1.0
1733102331.1706102,291,1.0
1733102332.6369295,292,1.0
1733102334.1220858,293,1.0
1733102335.6191905,294,1.0
1733102337.125594,295,1.0
1733102338.621207,296,1.0
1733102340.0906308,297,1.0
1733102341.5362391,298,1.0
1733102342.9662302,299,1.0
1733102344.4397252,300,1.0
1733102345.962982,301,1.0
1733102347.5401483,302,1.0
1733102349.1071565,303,1.0
1733102350.5757728,304,1.0
1733102352.0097218,305,1.0
1733102353.4406016,306,1.0
1733102354.8405542,307,1.0
1733102356.2994208,308,1.0
1733102357.739228,309,1.0
1733102359.215155,310,1.0
1733102360.6930149,311,1.0
1733102362.1472921,312,1.0
1733102363.6389577,313,1.0
1733102365.119917,314,1.0
1733102366.5667875,315,1.0
1733102368.0492089,316,1.0
1733102369.5773015,317,1.0
1733102371.1101584,318,1.0
1733102372.5147338,319,1.0
1733102373.9583073,320,1.0
1733102375.387484,321,1.0
1733102376.899895,322,1.0
1733102378.3534274,323,1.0
1733102379.8333056,324,1.0
1733102381.316566,325,1.0
1733102382.7546945,326,1.0
1733102384.3016644,327,1.0
1733102385.802933,328,1.0
1733102387.2501378,329,1.0
1733102388.757827,330,1.0
1733102390.2735536,331,1.0
1733102391.736699,332,1.0
1733102393.2794971,333,1.0
1733102394.7274275,334,1.0
1733102396.1792524,335,1.0
1733102397.6386719,336,1.0
1733102399.059828,337,1.0
1733102400.4894598,338,1.0
1733102401.9362779,339,1.0
1733102403.4097588,340,1.0
