Wall time,Step,Value
1733101524.398739,0,1.0
1733101524.6576958,1,1.0
1733101524.9481382,2,1.0
1733101525.2400627,3,1.0
1733101525.5326715,4,1.0
1733101525.8327832,5,1.0
1733101526.1348639,6,1.0
1733101526.4249017,7,1.0
1733101526.7073805,8,1.0
1733101526.9546094,9,1.0
1733101527.2052,10,1.0
1733101527.5688982,11,1.0
1733101527.8209777,12,1.0
1733101528.1925974,13,1.0
1733101528.4541233,14,1.0
1733101528.7160459,15,1.0
1733101528.985138,16,1.0
1733101529.2468188,17,1.0
1733101529.515625,18,1.0
1733101529.7810426,19,1.0
1733101530.0308974,20,1.0
1733101530.274828,21,1.0
1733101530.5184064,22,1.0
1733101530.763453,23,1.0
1733101531.2527678,25,1.0
1733101531.5057204,26,1.0
1733101531.7514405,27,1.0
1733101532.031249,28,1.0
1733101532.3281853,29,1.0
1733101532.5919325,30,1.0
1733101532.876072,31,1.0
1733101533.1598577,32,1.0
1733101533.439166,33,1.0
1733101533.707718,34,1.0
1733101533.992473,35,1.0
1733101534.2742054,36,1.0
1733101534.5671673,37,1.0
1733101534.8690593,38,1.0
1733101535.164932,39,1.0
1733101535.4545178,40,1.0
1733101535.7459884,41,1.0
1733101536.0147176,42,1.0
1733101536.241865,43,1.0
1733101536.470377,44,1.0
1733101536.7049239,45,1.0
1733101536.9477448,46,1.0
1733101537.1920981,47,1.0
1733101537.431533,48,1.0
1733101537.6724925,49,1.0
1733101537.9119866,50,1.0
1733101538.1520002,51,1.0
1733101538.384907,52,1.0
1733101538.621554,53,1.0
1733101538.861481,54,1.0
1733101539.0965037,55,1.0
1733101539.3307414,56,1.0
1733101539.5690622,57,1.0
1733101539.8098783,58,1.0
1733101540.0372903,59,1.0
1733101540.2700467,60,1.0
1733101540.503288,61,1.0
1733101540.7359884,62,1.0
1733101540.9639404,63,1.0
1733101541.197341,64,1.0
1733101541.4295855,65,1.0
1733101541.6663616,66,1.0
1733101541.8921065,67,1.0
1733101542.1212761,68,1.0
1733101542.3480709,69,1.0
1733101542.5756724,70,1.0
1733101542.8023605,71,1.0
1733101543.0284784,72,1.0
1733101543.2651837,73,1.0
1733101543.4926047,74,1.0
1733101543.72588,75,1.0
1733101543.9524434,76,1.0
1733101544.1925209,77,1.0
1733101544.4203522,78,1.0
1733101544.6550539,79,1.0
1733101544.8840587,80,1.0
1733101545.1151466,81,1.0
1733101545.3514822,82,1.0
1733101545.5815773,83,1.0
1733101545.8157036,84,1.0
1733101546.0519147,85,1.0
1733101546.28343,86,1.0
1733101546.5173078,87,1.0
1733101546.7498536,88,1.0
1733101546.9786322,89,1.0
1733101547.220157,90,1.0
1733101547.4756734,91,1.0
1733101547.707291,92,1.0
1733101547.9632163,93,1.0
1733101548.1974857,94,1.0
1733101548.4374917,95,1.0
1733101548.6662157,96,1.0
1733101548.9049628,97,1.0
1733101549.1362555,98,1.0
1733101549.3795888,99,1.0
1733101549.6109064,100,1.0
1733101549.849181,101,1.0
1733101550.0840826,102,1.0
1733101550.3204782,103,1.0
1733101550.5564196,104,1.0
1733101550.7968152,105,1.0
1733101551.0272183,106,1.0
1733101551.25897,107,1.0
1733101551.4952366,108,1.0
1733101551.727005,109,1.0
1733101551.957248,110,1.0
1733101552.1882114,111,1.0
1733101552.424203,112,1.0
1733101552.6561327,113,1.0
1733101552.885504,114,1.0
1733101553.1137211,115,1.0
1733101553.3466704,116,1.0
1733101553.5788426,117,1.0
1733101553.8091328,118,1.0
1733101554.0442228,119,1.0
1733101554.2774785,120,1.0
1733101554.5162132,121,1.0
1733101554.7544308,122,1.0
1733101554.9873488,123,1.0
1733101555.2212458,124,1.0
1733101555.4529264,125,1.0
1733101555.686325,126,1.0
1733101555.9184272,127,1.0
1733101556.1508486,128,1.0
1733101556.3834205,129,1.0
1733101556.6169531,130,1.0
1733101556.8533194,131,1.0
1733101557.0834203,132,1.0
1733101557.3167725,133,1.0
1733101557.5479221,134,1.0
1733101557.7792902,135,1.0
1733101558.0116532,136,1.0
1733101558.2434285,137,1.0
1733101558.4639049,138,1.0
1733101558.6846507,139,1.0
1733101558.9164062,140,1.0
1733101559.1347928,141,1.0
1733101559.3560333,142,1.0
1733101559.5775332,143,1.0
1733101559.8107324,144,1.0
1733101560.032117,145,1.0
1733101560.257769,146,1.0
1733101560.477586,147,1.0
1733101560.7067795,148,1.0
1733101560.9351265,149,1.0
1733101561.1631029,150,1.0
1733101561.3865244,151,1.0
1733101561.614053,152,1.0
1733101561.847166,153,1.0
1733101562.0811794,154,1.0
1733101562.3138711,155,1.0
1733101562.5467687,156,1.0
1733101562.7779799,157,1.0
1733101563.0071836,158,1.0
1733101563.2440822,159,1.0
1733101563.4759657,160,1.0
1733101563.7278557,161,1.0
1733101564.016106,162,1.0
1733101564.273097,163,1.0
1733101564.5317807,164,1.0
1733101564.7950265,165,1.0
1733101565.0360134,166,1.0
1733101565.2787082,167,1.0
1733101565.5159366,168,1.0
1733101565.7454815,169,1.0
1733101565.9756918,170,1.0
1733101566.20792,171,1.0
1733101566.4409058,172,1.0
1733101566.672027,173,1.0
1733101566.9025006,174,1.0
1733101567.1321318,175,1.0
1733101567.3609076,176,1.0
1733101567.5977128,177,1.0
1733101567.826963,178,1.0
1733101568.0534885,179,1.0
1733101568.2811024,180,1.0
1733101568.5077736,181,1.0
1733101568.736318,182,1.0
1733101568.9598324,183,1.0
1733101569.1892529,184,1.0
1733101569.4235344,185,1.0
