Wall time,Step,Value
1733107138.8815634,0,1.0
1733107139.1833696,1,1.0
1733107139.4808424,2,1.0
1733107139.783576,3,1.0
1733107140.089908,4,1.0
1733107140.3886254,5,1.0
1733107140.6864161,6,1.0
1733107140.98478,7,1.0
1733107141.281396,8,1.0
1733107141.584616,9,1.0
1733107141.8822658,10,1.0
1733107142.18035,11,1.0
1733107142.4789019,12,1.0
1733107142.7936976,13,1.0
1733107143.0918288,14,1.0
1733107143.3894904,15,1.0
1733107143.686245,16,1.0
1733107143.9837122,17,1.0
1733107144.2804651,18,1.0
1733107144.5800462,19,1.0
1733107144.8774633,20,1.0
1733107145.177683,21,1.0
1733107145.475176,22,1.0
1733107145.772265,23,1.0
1733107146.069451,24,1.0
1733107146.3662145,25,1.0
1733107146.6759849,26,1.0
1733107146.9758675,27,1.0
1733107147.2742271,28,1.0
1733107147.570273,29,1.0
1733107147.8670228,30,1.0
1733107148.1639783,31,1.0
1733107148.461189,32,1.0
1733107148.757348,33,1.0
1733107149.0560012,34,1.0
1733107149.352695,35,1.0
1733107149.6499813,36,1.0
1733107149.9469469,37,1.0
1733107150.2440712,38,1.0
1733107150.5425756,39,1.0
1733107150.8401937,40,1.0
1733107151.1374726,41,1.0
1733107151.4346085,42,1.0
1733107151.7415054,43,1.0
1733107152.0388727,44,1.0
1733107152.3485804,45,1.0
1733107152.6448789,46,1.0
1733107152.9419856,47,1.0
1733107153.2386239,48,1.0
1733107153.5350115,49,1.0
1733107153.8352656,50,1.0
1733107154.1335614,51,1.0
1733107154.431694,52,1.0
1733107154.72858,53,1.0
1733107155.0265496,54,1.0
1733107155.3280976,55,1.0
1733107155.6259742,56,1.0
1733107155.9606855,57,1.0
1733107156.257788,58,1.0
1733107156.5553842,59,1.0
1733107156.860518,60,1.0
1733107157.1580706,61,1.0
1733107157.4581563,62,1.0
1733107157.7600408,63,1.0
1733107158.0945666,64,1.0
1733107158.3956537,65,1.0
1733107158.6960163,66,1.0
1733107158.993397,67,1.0
1733107159.2935705,68,1.0
1733107159.5945864,69,1.0
1733107159.93334,70,1.0
1733107160.2302415,71,1.0
1733107160.5313773,72,1.0
1733107160.8283165,73,1.0
1733107161.125867,74,1.0
1733107161.422025,75,1.0
1733107161.7552955,76,1.0
1733107162.0620513,77,1.0
1733107162.3671086,78,1.0
1733107162.670745,79,1.0
1733107162.9826958,80,1.0
1733107163.2795079,81,1.0
1733107163.5767107,82,1.0
1733107163.8736253,83,1.0
1733107164.171118,84,1.0
1733107164.4695716,85,1.0
1733107164.770143,86,1.0
1733107165.1036897,87,1.0
1733107165.4048712,88,1.0
1733107165.7016363,89,1.0
1733107165.9982698,90,1.0
1733107166.3132787,91,1.0
1733107166.611795,92,1.0
1733107166.9365327,93,1.0
1733107167.2425828,94,1.0
1733107167.552147,95,1.0
