Wall time,Step,Value
1733101914.9507594,0,1.0
1733101916.3909094,1,1.0
1733101917.8569567,2,1.0
1733101919.2860813,3,1.0
1733101920.6965003,4,1.0
1733101922.1208827,5,1.0
1733101923.559739,6,1.0
1733101925.0112836,7,1.0
1733101926.3766332,8,1.0
1733101927.7483027,9,1.0
1733101929.1511717,10,1.0
1733101930.580358,11,1.0
1733101931.9881737,12,1.0
1733101933.3653903,13,1.0
1733101934.803871,14,1.0
1733101936.2472456,15,1.0
1733101937.6614742,16,1.0
1733101939.0430894,17,1.0
1733101940.483877,18,1.0
1733101942.0016193,19,1.0
1733101943.4121845,20,1.0
1733101944.820167,21,1.0
1733101946.2201636,22,1.0
1733101947.586632,23,1.0
1733101950.3946233,25,1.0
1733101951.8348646,26,1.0
1733101953.2435725,27,1.0
1733101954.7738473,28,1.0
1733101956.2105393,29,1.0
1733101957.6010337,30,1.0
1733101958.9959567,31,1.0
1733101960.4375439,32,1.0
1733101961.9178512,33,1.0
1733101963.3566885,34,1.0
1733101964.8685982,35,1.0
1733101966.2168999,36,1.0
1733101967.6134317,37,1.0
1733101969.003555,38,1.0
1733101970.4292321,39,1.0
1733101971.84062,40,1.0
1733101973.2367883,41,1.0
1733101974.6310496,42,1.0
1733101976.0657148,43,1.0
1733101977.5641625,44,1.0
1733101979.0637074,45,1.0
1733101980.474533,46,1.0
1733101981.8887947,47,1.0
1733101983.318821,48,1.0
1733101984.729517,49,1.0
1733101986.2371457,50,1.0
1733101987.7236679,51,1.0
1733101989.2020109,52,1.0
1733101990.674162,53,1.0
1733101992.1183467,54,1.0
1733101993.6015966,55,1.0
1733101995.0712597,56,1.0
1733101996.5235512,57,1.0
1733101998.0123308,58,1.0
1733101999.460628,59,1.0
1733102000.927563,60,1.0
1733102002.5032454,61,1.0
1733102003.9662316,62,1.0
1733102005.426539,63,1.0
1733102006.8622308,64,1.0
1733102008.3147392,65,1.0
1733102009.701051,66,1.0
1733102011.179079,67,1.0
1733102012.6489315,68,1.0
1733102014.0961413,69,1.0
1733102015.6434474,70,1.0
1733102017.15595,71,1.0
1733102018.6830835,72,1.0
1733102020.1665308,73,1.0
1733102021.6063128,74,1.0
1733102022.987836,75,1.0
1733102024.4985604,76,1.0
1733102025.9816122,77,1.0
1733102027.5080135,78,1.0
1733102028.980298,79,1.0
1733102030.4800591,80,1.0
1733102031.880124,81,1.0
1733102033.4584906,82,1.0
1733102034.9746008,83,1.0
1733102036.447814,84,1.0
1733102037.8985162,85,1.0
1733102039.397511,86,1.0
1733102040.874408,87,1.0
1733102042.3340123,88,1.0
1733102043.825793,89,1.0
1733102045.3698897,90,1.0
1733102046.8129394,91,1.0
1733102048.2487648,92,1.0
1733102049.7309415,93,1.0
1733102051.1654625,94,1.0
1733102052.6410122,95,1.0
1733102054.0832467,96,1.0
1733102055.5623834,97,1.0
1733102056.9963932,98,1.0
1733102058.476569,99,1.0
1733102059.9038098,100,1.0
1733102061.3421085,101,1.0
1733102062.7838771,102,1.0
1733102064.2304287,103,1.0
1733102065.7326417,104,1.0
1733102067.204786,105,1.0
1733102068.6855023,106,1.0
1733102070.143836,107,1.0
1733102071.603107,108,1.0
1733102073.0424042,109,1.0
1733102074.5137932,110,1.0
1733102075.9666507,111,1.0
1733102077.4445944,112,1.0
1733102078.9997787,113,1.0
1733102080.475824,114,1.0
1733102081.922245,115,1.0
1733102083.3142781,116,1.0
1733102084.7381806,117,1.0
1733102086.1966166,118,1.0
1733102087.645687,119,1.0
1733102089.1242223,120,1.0
1733102090.5622344,121,1.0
1733102092.055012,122,1.0
1733102093.5208194,123,1.0
1733102094.9436083,124,1.0
1733102096.343791,125,1.0
1733102097.7978785,126,1.0
1733102099.2632527,127,1.0
1733102100.7067676,128,1.0
1733102102.2340515,129,1.0
1733102103.7239852,130,1.0
1733102105.1722138,131,1.0
1733102106.6573443,132,1.0
1733102108.0961046,133,1.0
1733102109.5808225,134,1.0
1733102111.0246918,135,1.0
1733102112.5627658,136,1.0
1733102114.1280894,137,1.0
1733102115.6804314,138,1.0
1733102117.2167366,139,1.0
1733102118.710523,140,1.0
1733102120.232099,141,1.0
1733102121.705646,142,1.0
1733102123.1897438,143,1.0
1733102124.643278,144,1.0
1733102126.1107652,145,1.0
1733102127.549372,146,1.0
1733102128.9925256,147,1.0
1733102130.4330463,148,1.0
1733102131.8994908,149,1.0
1733102133.3485157,150,1.0
1733102134.871374,151,1.0
1733102136.315657,152,1.0
1733102137.6979198,153,1.0
1733102139.1901162,154,1.0
1733102140.6477172,155,1.0
1733102142.1255934,156,1.0
1733102143.5649111,157,1.0
1733102145.043557,158,1.0
1733102146.5742745,159,1.0
1733102148.0151684,160,1.0
1733102149.4882154,161,1.0
1733102150.9409137,162,1.0
1733102152.3844066,163,1.0
1733102153.856436,164,1.0
1733102155.3597176,165,1.0
1733102156.8433182,166,1.0
1733102158.3076134,167,1.0
1733102159.744014,168,1.0
1733102161.14153,169,1.0
1733102162.6357977,170,1.0
1733102164.1146357,171,1.0
1733102165.5863028,172,1.0
1733102167.0703824,173,1.0
1733102168.5154068,174,1.0
1733102169.9767125,175,1.0
1733102171.457653,176,1.0
1733102172.9374728,177,1.0
1733102174.3830426,178,1.0
1733102175.8222873,179,1.0
1733102177.2524703,180,1.0
1733102178.6829278,181,1.0
1733102180.1626303,182,1.0
1733102181.62003,183,1.0
1733102183.0939038,184,1.0
1733102184.525544,185,1.0
1733102185.9930592,186,1.0
1733102187.4845092,187,1.0
1733102188.926638,188,1.0
1733102190.327171,189,1.0
1733102191.7960777,190,1.0
1733102193.2701383,191,1.0
1733102194.742938,192,1.0
1733102196.1862798,193,1.0
1733102197.6540546,194,1.0
1733102199.1394289,195,1.0
1733102200.6020257,196,1.0
1733102202.098614,197,1.0
1733102203.49413,198,1.0
1733102204.9248173,199,1.0
1733102206.4090838,200,1.0
1733102207.8749676,201,1.0
1733102209.3453958,202,1.0
1733102210.783955,203,1.0
1733102212.212451,204,1.0
1733102213.6193767,205,1.0
1733102215.1803224,206,1.0
1733102216.683359,207,1.0
1733102218.1396003,208,1.0
1733102219.5481784,209,1.0
1733102221.0345597,210,1.0
1733102222.528405,211,1.0
1733102223.9790757,212,1.0
1733102225.4098053,213,1.0
1733102226.8389919,214,1.0
1733102228.3040433,215,1.0
1733102229.768038,216,1.0
1733102231.2276304,217,1.0
1733102232.6721842,218,1.0
1733102234.072292,219,1.0
1733102235.5575192,220,1.0
1733102237.0435095,221,1.0
1733102238.5512288,222,1.0
1733102240.07232,223,1.0
1733102241.5338387,224,1.0
1733102242.940043,225,1.0
1733102244.4390655,226,1.0
1733102245.8985329,227,1.0
1733102247.2959924,228,1.0
1733102248.7547138,229,1.0
1733102250.1794739,230,1.0
1733102251.6801665,231,1.0
1733102253.1274636,232,1.0
1733102254.5512621,233,1.0
1733102256.0429702,234,1.0
1733102257.5118914,235,1.0
1733102258.9686694,236,1.0
1733102260.458737,237,1.0
1733102261.8855064,238,1.0
1733102263.333883,239,1.0
1733102264.8160722,240,1.0
1733102266.3621175,241,1.0
1733102267.8373945,242,1.0
1733102269.306416,243,1.0
1733102270.7647147,244,1.0
1733102272.2644227,245,1.0
1733102273.7005506,246,1.0
1733102275.1593833,247,1.0
1733102276.5442345,248,1.0
1733102277.958303,249,1.0
1733102279.3798177,250,1.0
1733102280.7634695,251,1.0
1733102281.9960988,252,1.0
1733102283.2418146,253,1.0
1733102284.4911616,254,0.4285714328289032
1733102285.7475479,255,1.0
1733102286.9576848,256,1.0
1733102288.126963,257,1.0
1733102289.3397148,258,1.0
1733102290.602272,259,1.0
1733102291.836028,260,1.0
1733102293.1004837,261,1.0
1733102294.3533318,262,1.0
1733102295.5632062,263,1.0
1733102296.69106,264,1.0
1733102297.8120205,265,1.0
1733102298.9033823,266,1.0
1733102300.0336194,267,1.0
1733102301.1564856,268,1.0
1733102302.2649899,269,1.0
1733102303.3787909,270,1.0
1733102304.4681451,271,1.0
1733102305.6204822,272,1.0
1733102306.7274158,273,1.0
1733102307.919389,274,1.0
1733102309.192754,275,1.0
1733102310.4343455,276,1.0
1733102311.6781201,277,1.0
1733102312.8963878,278,1.0
1733102314.14403,279,1.0
1733102315.369359,280,1.0
1733102316.6166165,281,1.0
1733102317.9274263,282,1.0
1733102319.2633965,283,1.0
1733102320.6610744,284,1.0
1733102322.1972156,285,1.0
1733102323.7034662,286,1.0
1733102325.2521868,287,1.0
1733102326.870525,288,1.0
1733102328.3067725,289,1.0
1733102329.748631,290,1.0
1733102331.170505,291,1.0
1733102332.6368175,292,1.0
1733102334.1219804,293,1.0
1733102335.619011,294,1.0
1733102337.1254508,295,1.0
1733102338.6210706,296,1.0
1733102340.0905147,297,1.0
1733102341.5361252,298,1.0
1733102342.9660919,299,1.0
1733102344.439609,300,1.0
1733102345.9628096,301,1.0
1733102347.5400252,302,1.0
1733102349.1070368,303,1.0
1733102350.5756626,304,1.0
1733102352.0096045,305,1.0
1733102353.4404833,306,1.0
1733102354.8404381,307,1.0
1733102356.2993057,308,1.0
1733102357.7391183,309,1.0
1733102359.215041,310,1.0
1733102360.6929,311,1.0
1733102362.1471648,312,1.0
1733102363.6388412,313,1.0
1733102365.119804,314,1.0
1733102366.5666745,315,1.0
1733102368.0490935,316,1.0
1733102369.5771873,317,1.0
1733102371.1100454,318,1.0
1733102372.5146172,319,1.0
1733102373.9581826,320,1.0
1733102375.387372,321,1.0
1733102376.8997831,322,1.0
1733102378.3533154,323,1.0
1733102379.833194,324,1.0
1733102381.3164606,325,1.0
1733102382.754576,326,1.0
1733102384.301551,327,1.0
1733102385.802822,328,1.0
1733102387.2500226,329,1.0
1733102388.7577114,330,1.0
1733102390.2734437,331,1.0
1733102391.7365878,332,1.0
1733102393.2793887,333,1.0
1733102394.727313,334,1.0
1733102396.1791446,335,1.0
1733102397.6385574,336,1.0
1733102399.0597153,337,1.0
1733102400.4893486,338,1.0
1733102401.936162,339,1.0
1733102403.4096487,340,1.0
1733102404.9033005,341,1.0
1733102406.3914235,342,1.0
1733102407.8920388,343,1.0
1733102409.3511813,344,1.0
1733102410.8870397,345,1.0
1733102412.3674285,346,1.0
1733102413.7756038,347,1.0
1733102415.286499,348,1.0
1733102416.6892905,349,1.0
1733102418.164727,350,1.0
1733102419.6490638,351,1.0
1733102421.1153688,352,1.0
1733102422.5818322,353,1.0
1733102424.0712643,354,1.0
1733102425.550543,355,1.0
1733102427.0519025,356,1.0
1733102428.4752045,357,1.0
1733102430.0201309,358,1.0
1733102431.5007935,359,1.0
1733102432.9494267,360,1.0
1733102434.47278,361,1.0
