Wall time,Step,Value
1733101524.3984547,0,1.0
1733101524.6574836,1,1.0
1733101524.9479833,2,1.0
1733101525.2398784,3,1.0
1733101525.5324721,4,1.0
1733101525.832586,5,1.0
1733101526.1346602,6,1.0
1733101526.4246986,7,1.0
1733101526.7072427,8,1.0
1733101526.954433,9,1.0
1733101527.2050726,10,1.0
1733101527.568695,11,1.0
1733101527.8208218,12,1.0
1733101528.1923985,13,1.0
1733101528.45397,14,1.0
1733101528.7158656,15,1.0
1733101528.984962,16,1.0
1733101529.2466366,17,1.0
1733101529.5154731,18,1.0
1733101529.7808354,19,1.0
1733101530.0307262,20,1.0
1733101530.2746456,21,1.0
1733101530.5182714,22,1.0
1733101530.7632732,23,1.0
1733101531.252629,25,1.0
1733101531.505581,26,1.0
1733101531.7512746,27,1.0
1733101532.0310624,28,1.0
1733101532.3280272,29,1.0
1733101532.5917945,30,1.0
1733101532.8758996,31,1.0
1733101533.159716,32,1.0
1733101533.4389825,33,1.0
1733101533.7075834,34,1.0
1733101533.9922564,35,1.0
1733101534.2740493,36,1.0
1733101534.5669696,37,1.0
1733101534.8688676,38,1.0
1733101535.1647193,39,1.0
1733101535.4543672,40,1.0
1733101535.745826,41,1.0
1733101536.0146027,42,1.0
1733101536.241745,43,1.0
1733101536.4702406,44,1.0
1733101536.7047672,45,1.0
1733101536.947575,46,1.0
1733101537.1919627,47,1.0
1733101537.4313924,48,1.0
1733101537.6723368,49,1.0
1733101537.9118545,50,1.0
1733101538.151856,51,1.0
1733101538.3847854,52,1.0
1733101538.6214333,53,1.0
1733101538.8613389,54,1.0
1733101539.096359,55,1.0
1733101539.3305912,56,1.0
1733101539.5689461,57,1.0
1733101539.809735,58,1.0
1733101540.0371735,59,1.0
1733101540.2699275,60,1.0
1733101540.5031545,61,1.0
1733101540.7358532,62,1.0
1733101540.9638016,63,1.0
1733101541.1972208,64,1.0
1733101541.4294438,65,1.0
1733101541.666226,66,1.0
1733101541.8919716,67,1.0
1733101542.1211581,68,1.0
1733101542.3479333,69,1.0
1733101542.5755312,70,1.0
1733101542.8022387,71,1.0
1733101543.028321,72,1.0
1733101543.2650573,73,1.0
1733101543.4924743,74,1.0
1733101543.7257597,75,1.0
