Wall time,Step,Value
1733345145.4771454,0,1.0
1733345145.8827448,1,1.0
1733345146.2725208,2,1.0
1733345146.641959,3,1.0
1733345147.0080955,4,1.0
1733345147.3580933,5,1.0
1733345147.709891,6,1.0
1733345148.0739648,7,1.0
1733345148.428079,8,1.0
1733345148.777808,9,1.0
1733345149.121004,10,1.0
1733345149.500184,11,1.0
1733345149.8710868,12,1.0
1733345150.2525005,13,1.0
1733345150.6457436,14,1.0
1733345151.0443695,15,1.0
1733345151.4756734,16,1.0
1733345151.871879,17,1.0
1733345152.2464707,18,1.0
1733345152.673683,19,1.0
1733345153.0807338,20,1.0
1733345153.4642727,21,1.0
1733345153.8667474,22,1.0
1733345154.2569706,23,1.0
1733345155.042791,25,1.0
1733345155.3981338,26,1.0
1733345155.763608,27,1.0
1733345156.1545846,28,1.0
1733345156.544229,29,1.0
1733345156.9723232,30,1.0
1733345157.3865755,31,1.0
1733345157.79216,32,1.0
1733345158.1563547,33,1.0
1733345158.513542,34,1.0
1733345158.8830419,35,1.0
1733345159.2476902,36,1.0
1733345159.5999024,37,1.0
1733345159.987607,38,1.0
1733345160.4294999,39,1.0
1733345160.8591166,40,1.0
1733345161.257694,41,1.0
1733345161.6525376,42,1.0
1733345162.0332146,43,1.0
1733345162.4622567,44,1.0
1733345162.8617835,45,1.0
1733345163.2497637,46,1.0
1733345163.6407125,47,1.0
1733345164.0031736,48,1.0
1733345164.4300718,49,1.0
1733345164.8365395,50,1.0
1733345165.2419782,51,1.0
1733345165.6826332,52,1.0
1733345166.0588114,53,1.0
1733345166.4631538,54,1.0
1733345166.8651268,55,1.0
1733345167.2828348,56,1.0
1733345167.6918578,57,1.0
1733345168.0823724,58,1.0
1733345168.5248773,59,1.0
1733345168.9062362,60,1.0
1733345169.3114378,61,1.0
1733345169.6980462,62,1.0
1733345170.1500635,63,1.0
1733345170.5706782,64,1.0
1733345170.9776165,65,1.0
1733345171.380759,66,1.0
1733345171.8075223,67,1.0
1733345172.18172,68,1.0
1733345172.571107,69,1.0
1733345172.97503,70,1.0
1733345173.3763902,71,1.0
1733345173.7589006,72,1.0
1733345174.153269,73,1.0
1733345174.5495303,74,1.0
1733345174.9280863,75,1.0
1733345175.354008,76,1.0
1733345175.7408712,77,1.0
1733345176.1665692,78,1.0
1733345176.5224876,79,1.0
1733345176.9140656,80,1.0
1733345177.3088064,81,1.0
1733345177.6693058,82,1.0
1733345178.0443459,83,1.0
1733345178.425687,84,1.0
1733345178.8113234,85,1.0
1733345179.24147,86,1.0
1733345179.6377475,87,1.0
1733345179.9870818,88,1.0
1733345180.3902574,89,1.0
1733345180.8105645,90,1.0
1733345181.2128694,91,1.0
1733345181.5997217,92,1.0
1733345182.024089,93,1.0
1733345182.4546344,94,1.0
1733345182.8513513,95,1.0
1733345183.2536407,96,1.0
1733345183.6469133,97,1.0
1733345184.0497265,98,1.0
1733345184.431884,99,1.0
1733345184.8648458,100,1.0
1733345185.270838,101,1.0
1733345185.6765811,102,1.0
1733345186.0888374,103,1.0
1733345186.4782958,104,1.0
1733345186.8833814,105,1.0
1733345187.2690487,106,1.0
1733345187.6680608,107,1.0
1733345188.0700576,108,1.0
1733345188.4716122,109,1.0
1733345188.8486705,110,1.0
1733345189.2301672,111,1.0
1733345189.620629,112,1.0
1733345190.0192177,113,1.0
1733345190.4380558,114,1.0
1733345190.8625789,115,1.0
1733345191.267674,116,1.0
1733345191.6595984,117,1.0
1733345192.0588303,118,1.0
1733345192.4916458,119,1.0
1733345192.8696294,120,1.0
1733345193.24788,121,1.0
1733345193.669192,122,1.0
1733345194.0353262,123,1.0
1733345194.4500766,124,1.0
1733345194.851848,125,1.0
1733345195.2311537,126,1.0
1733345195.6169593,127,1.0
1733345196.0142345,128,1.0
1733345196.4475145,129,1.0
1733345196.8166728,130,1.0
1733345197.203494,131,1.0
1733345197.5688763,132,1.0
1733345197.9334896,133,1.0
1733345198.3213224,134,1.0
1733345198.7017407,135,1.0
1733345199.0962374,136,1.0
1733345199.4952583,137,1.0
1733345199.94163,138,1.0
1733345200.3291247,139,1.0
1733345200.6926832,140,1.0
1733345201.0466802,141,1.0
1733345201.4593282,142,1.0
1733345201.8245692,143,1.0
1733345202.263322,144,1.0
1733345202.6913192,145,1.0
1733345203.077539,146,1.0
1733345203.4714565,147,1.0
1733345203.8635228,148,1.0
1733345204.250397,149,1.0
1733345204.6625714,150,1.0
1733345205.0450795,151,1.0
1733345205.4648883,152,1.0
1733345205.878482,153,1.0
1733345206.2756352,154,1.0
1733345206.6551986,155,1.0
1733345207.0337546,156,1.0
1733345207.4749262,157,1.0
1733345207.852648,158,1.0
1733345208.2774203,159,1.0
1733345208.6807158,160,1.0
1733345209.1161096,161,1.0
1733345209.5130613,162,1.0
1733345209.9356327,163,1.0
1733345210.3379962,164,1.0
1733345210.7469687,165,1.0
1733345211.1761093,166,1.0
