Wall time,Step,Value
1733101983.8332834,0,1.0
1733101985.3540428,1,1.0
1733101986.8033543,2,1.0
1733101988.2561185,3,1.0
1733101989.7072742,4,1.0
1733101991.1685653,5,1.0
1733101992.5978277,6,1.0
1733101994.0916555,7,1.0
1733101995.5987394,8,1.0
1733101997.0315816,9,1.0
1733101998.5102,10,1.0
1733101999.9765966,11,1.0
1733102001.4347863,12,1.0
1733102002.9531987,13,1.0
1733102004.4485023,14,1.0
1733102005.911433,15,1.0
1733102007.3592162,16,1.0
1733102008.804096,17,1.0
1733102010.3172188,18,1.0
1733102011.799551,19,1.0
1733102013.2433333,20,1.0
1733102014.772024,21,1.0
1733102016.319149,22,1.0
1733102017.7501454,23,1.0
1733102020.6608784,25,1.0
1733102022.077693,26,1.0
1733102023.5816581,27,1.0
1733102025.0772274,28,1.0
1733102026.562705,29,1.0
1733102028.0440547,30,1.0
1733102029.5341544,31,1.0
1733102030.9539857,32,1.0
1733102032.3234909,33,1.0
1733102033.872424,34,1.0
1733102035.32055,35,1.0
1733102036.7648113,36,1.0
1733102038.2352862,37,1.0
1733102039.7243316,38,1.0
1733102041.2149081,39,1.0
1733102042.6377568,40,1.0
1733102044.1062188,41,1.0
1733102045.6124034,42,1.0
1733102047.0685422,43,1.0
1733102048.492464,44,1.0
1733102049.9661977,45,1.0
1733102051.4650705,46,1.0
1733102052.9435773,47,1.0
1733102054.3578942,48,1.0
1733102055.8630369,49,1.0
1733102057.3586242,50,1.0
1733102058.8112125,51,1.0
1733102060.205559,52,1.0
1733102061.6520362,53,1.0
1733102063.158874,54,1.0
1733102064.629177,55,1.0
1733102066.046335,56,1.0
1733102067.5234568,57,1.0
1733102068.9837325,58,1.0
1733102070.4557347,59,1.0
1733102071.8995848,60,1.0
1733102073.3485467,61,1.0
1733102074.8030064,62,1.0
1733102076.2292116,63,1.0
1733102077.706093,64,1.0
1733102079.2545643,65,1.0
1733102080.7606173,66,1.0
1733102082.1868308,67,1.0
1733102083.6211927,68,1.0
1733102085.060928,69,1.0
1733102086.4812732,70,1.0
1733102087.9321895,71,1.0
1733102089.4101365,72,1.0
1733102090.8394847,73,1.0
1733102092.3547795,74,1.0
1733102093.8138826,75,1.0
1733102095.2303042,76,1.0
1733102096.6016212,77,1.0
1733102098.0666509,78,1.0
1733102099.5658107,79,1.0
1733102101.0729434,80,1.0
1733102102.5487595,81,1.0
1733102104.0484228,82,1.0
1733102105.485406,83,1.0
1733102106.9412532,84,1.0
1733102108.4279222,85,1.0
1733102109.8637578,86,0.1428571492433548
1733102111.2505553,87,1.0
1733102112.79164,88,1.0
1733102114.3758788,89,1.0
1733102115.8581493,90,1.0
1733102117.3404055,91,1.0
1733102118.831649,92,1.0
1733102120.2987802,93,1.0
1733102121.7926464,94,1.0
1733102123.2750537,95,1.0
1733102124.732818,96,1.0
1733102126.166824,97,1.0
1733102127.5885768,98,1.0
1733102129.047894,99,1.0
1733102130.499827,100,1.0
1733102131.9919486,101,1.0
1733102133.4905195,102,1.0
1733102134.945503,103,1.0
1733102136.3958683,104,1.0
1733102137.8456466,105,1.0
1733102139.3145776,106,1.0
1733102140.824602,107,1.0
1733102142.2586162,108,1.0
1733102143.7342918,109,1.0
1733102145.21429,110,1.0
1733102146.6664083,111,1.0
1733102148.1098294,112,1.0
1733102149.5723374,113,1.0
1733102151.0216446,114,1.0
1733102152.493919,115,1.0
1733102153.950277,116,1.0
1733102155.4431255,117,1.0
1733102156.88868,118,1.0
1733102158.378825,119,1.0
1733102159.8476214,120,1.0
1733102161.291279,121,0.4285714328289032
1733102162.772231,122,1.0
1733102164.2104087,123,1.0
1733102165.7033513,124,1.0
1733102167.1417985,125,1.0
1733102168.5832984,126,1.0
1733102170.0875041,127,1.0
1733102171.5382695,128,1.0
1733102173.0237968,129,1.0
1733102174.5298505,130,1.0
1733102175.9404461,131,1.0
1733102177.361561,132,1.0
1733102178.779109,133,1.0
1733102180.2241144,134,1.0
1733102181.6826713,135,1.0
1733102183.1481247,136,1.0
1733102184.629685,137,1.0
1733102186.0926075,138,1.0
1733102187.569969,139,1.0
1733102189.0004802,140,1.0
1733102190.4615371,141,1.0
1733102191.9730864,142,1.0
1733102193.406051,143,1.0
1733102194.8205721,144,1.0
1733102196.2908819,145,1.0
1733102197.7462971,146,1.0
1733102199.2206397,147,1.0
1733102200.7476835,148,1.0
1733102202.2052646,149,1.0
1733102203.7173793,150,1.0
1733102205.1868074,151,1.0
1733102206.6526334,152,1.0
1733102208.1594155,153,1.0
1733102209.6550097,154,1.0
1733102211.106883,155,1.0
1733102212.5156572,156,1.0
1733102214.0518513,157,1.0
1733102215.6161551,158,1.0
1733102217.0247676,159,1.0
1733102218.446529,160,1.0
1733102219.906218,161,1.0
1733102221.354918,162,1.0
1733102222.837335,163,1.0
1733102224.3011646,164,1.0
1733102225.7192786,165,1.0
1733102227.1629648,166,1.0
1733102228.6240177,167,1.0
1733102230.102529,168,1.0
1733102231.5412416,169,1.0
1733102232.9728754,170,1.0
1733102234.388579,171,1.0
1733102235.844327,172,1.0
1733102237.3603988,173,1.0
1733102238.882321,174,1.0
1733102240.375798,175,1.0
1733102241.827839,176,1.0
1733102243.260891,177,1.0
1733102244.741303,178,1.0
1733102246.2069287,179,1.0
1733102247.5991342,180,1.0
1733102249.068105,181,1.0
1733102250.480317,182,1.0
1733102251.9690323,183,1.0
1733102253.4068487,184,1.0
1733102254.8840551,185,1.0
1733102256.3643584,186,1.0
1733102257.8435702,187,1.0
1733102259.2891216,188,1.0
1733102260.746426,189,1.0
1733102262.132244,190,1.0
1733102263.6123395,191,1.0
1733102265.0541532,192,1.0
1733102266.627461,193,1.0
1733102268.1262538,194,1.0
1733102269.6039596,195,1.0
1733102271.1220663,196,1.0
1733102272.5713918,197,1.0
1733102273.971671,198,1.0
1733102275.4227998,199,1.0
1733102276.8185346,200,1.0
1733102278.2164695,201,1.0
1733102279.706491,202,1.0
1733102281.0456665,203,1.0
1733102282.258153,204,1.0
1733102283.5190556,205,1.0
1733102284.762126,206,1.0
1733102286.0284417,207,1.0
1733102287.2065537,208,1.0
1733102288.421152,209,1.0
1733102289.6515794,210,1.0
1733102290.8651855,211,1.0
1733102292.1069152,212,1.0
1733102293.3765743,213,1.0
1733102294.6070585,214,1.0
1733102295.804974,215,1.0
1733102296.8911107,216,1.0
1733102298.0041695,217,1.0
1733102299.124317,218,1.0
1733102300.2566023,219,1.0
1733102301.3900213,220,1.0
1733102302.513439,221,1.0
1733102303.662253,222,1.0
1733102304.7365644,223,1.0
1733102305.841846,224,1.0
1733102306.9563673,225,1.0
1733102308.144064,226,1.0
1733102309.4306452,227,1.0
1733102310.7073402,228,1.0
1733102311.966287,229,1.0
1733102313.230301,230,1.0
1733102314.4050252,231,1.0
1733102315.6419437,232,1.0
1733102316.8747466,233,1.0
1733102318.143741,234,1.0
1733102319.403448,235,1.0
1733102320.865377,236,1.0
1733102322.4069471,237,1.0
1733102323.9027896,238,1.0
1733102325.4768085,239,1.0
1733102327.1016028,240,1.0
1733102328.5846717,241,1.0
1733102330.0415397,242,1.0
1733102331.4894872,243,1.0
1733102332.9624302,244,1.0
1733102334.4636235,245,1.0
1733102335.9493299,246,1.0
1733102337.439535,247,1.0
1733102338.9184809,248,1.0
1733102340.3749838,249,0.1428571492433548
1733102341.7935233,250,1.0
1733102343.2519727,251,1.0
1733102344.652076,252,1.0
1733102346.1785827,253,1.0
1733102347.7639213,254,1.0
1733102349.3542595,255,1.0
1733102350.8423367,256,1.0
1733102352.289316,257,1.0
1733102353.74796,258,1.0
1733102355.1944666,259,1.0
1733102356.6142182,260,1.0
1733102358.025846,261,1.0
1733102359.4908988,262,1.0
1733102360.9982777,263,1.0
1733102362.4929965,264,1.0
1733102363.9673812,265,1.0
1733102365.3810608,266,1.0
1733102366.8296149,267,1.0
1733102368.271636,268,1.0
1733102369.7910116,269,1.0
1733102371.3514967,270,1.0
1733102372.7956324,271,1.0
1733102374.26604,272,1.0
1733102375.7316463,273,1.0
1733102377.1766999,274,1.0
1733102378.6425285,275,1.0
1733102380.1248555,276,1.0
1733102381.6119168,277,1.0
1733102382.9834785,278,1.0
1733102384.4960153,279,1.0
1733102385.9397395,280,1.0
1733102387.3967912,281,1.0
1733102388.8853638,282,1.0
1733102390.3755167,283,1.0
1733102391.8575525,284,1.0
1733102393.339353,285,1.0
1733102394.8009965,286,1.0
1733102396.2790573,287,1.0
1733102397.7458766,288,1.0
1733102399.1731584,289,1.0
1733102400.6006768,290,1.0
1733102402.053855,291,1.0
1733102403.5244699,292,1.0
1733102405.03257,293,1.0
1733102406.5177472,294,1.0
1733102408.0055497,295,1.0
1733102409.521907,296,1.0
1733102410.9584994,297,1.0
1733102412.4065983,298,1.0
1733102413.7947633,299,1.0
1733102415.3000445,300,1.0
1733102416.819653,301,1.0
1733102418.2782414,302,1.0
1733102419.7351131,303,1.0
1733102421.214284,304,1.0
1733102422.6811914,305,1.0
1733102424.1562166,306,1.0
1733102425.6076512,307,1.0
1733102427.1043327,308,1.0
1733102428.4970887,309,1.0
1733102430.0282567,310,1.0
1733102431.5318704,311,1.0
1733102433.0192618,312,1.0
1733102434.504668,313,1.0
1733102436.0625982,314,1.0
1733102437.636297,315,1.0
1733102439.1501539,316,1.0
1733102440.6360507,317,1.0
1733102442.094744,318,1.0
1733102443.5682683,319,1.0
1733102445.0109642,320,1.0
1733102446.4666777,321,1.0
1733102447.8769212,322,1.0
1733102449.3122463,323,1.0
1733102450.7721944,324,1.0
1733102452.2565017,325,1.0
1733102453.7233076,326,1.0
1733102455.1893132,327,1.0
1733102456.6549888,328,1.0
1733102458.048292,329,1.0
1733102459.5452514,330,1.0
1733102461.0462427,331,1.0
1733102462.4574077,332,1.0
1733102463.9756687,333,1.0
1733102465.4434571,334,1.0
1733102466.917997,335,1.0
1733102468.3839266,336,1.0
1733102469.824998,337,1.0
1733102471.2364175,338,1.0
1733102472.8085835,339,1.0
1733102474.381479,340,1.0
1733102475.8419702,341,1.0
1733102477.3275156,342,1.0
1733102478.8130884,343,1.0
1733102480.238139,344,1.0
1733102481.6717505,345,1.0
1733102483.1792,346,1.0
1733102484.5852942,347,1.0
1733102486.0007608,348,1.0
1733102487.45177,349,1.0
1733102488.9271097,350,1.0
1733102490.4719572,351,1.0
1733102492.015516,352,1.0
1733102493.5226047,353,1.0
1733102495.0158608,354,1.0
1733102496.5248597,355,1.0
1733102497.9089708,356,1.0
1733102499.3376796,357,1.0
1733102500.7681987,358,1.0
1733102502.252297,359,1.0
1733102503.7259276,360,1.0
1733102505.210112,361,1.0
1733102506.709165,362,1.0
1733102508.2155602,363,1.0
1733102509.6968741,364,1.0
1733102511.1812398,365,1.0
1733102512.6226397,366,1.0
1733102514.1278121,367,1.0
1733102515.4950058,368,1.0
1733102516.9421346,369,1.0
1733102518.4754627,370,1.0
1733102519.9291298,371,1.0
1733102521.462567,372,1.0
1733102522.936559,373,1.0
1733102524.3885975,374,1.0
1733102525.8044422,375,1.0
1733102527.2234762,376,1.0
1733102528.6829026,377,1.0
1733102530.1327813,378,1.0
1733102531.5822704,379,1.0
1733102533.0398743,380,1.0
1733102534.5027077,381,1.0
1733102535.9865727,382,1.0
1733102537.4357173,383,1.0
1733102538.8265414,384,1.0
1733102540.312859,385,1.0
1733102541.771141,386,1.0
1733102543.272608,387,1.0
1733102544.7312245,388,1.0
1733102546.173966,389,1.0
1733102547.6678402,390,1.0
1733102549.1554556,391,1.0
1733102550.6312869,392,1.0
1733102552.0482066,393,1.0
1733102553.6342168,394,1.0
1733102555.0346305,395,1.0
1733102556.418166,396,1.0
1733102557.8738258,397,1.0
1733102559.3723285,398,1.0
1733102560.8372664,399,1.0
1733102562.3216043,400,1.0
1733102563.7865946,401,1.0
1733102565.2201107,402,1.0
1733102566.6980488,403,1.0
1733102568.1311328,404,1.0
1733102569.5555847,405,1.0
1733102571.03152,406,1.0
1733102572.562244,407,1.0
1733102574.083165,408,1.0
1733102575.5839353,409,1.0
1733102577.1644452,410,1.0
1733102578.6320336,411,1.0
1733102580.07913,412,1.0
1733102581.4892797,413,1.0
1733102582.9583657,414,1.0
1733102584.3783677,415,1.0
1733102585.8624427,416,1.0
1733102587.3221164,417,1.0
1733102588.8477345,418,1.0
1733102590.3252954,419,1.0
1733102591.7688456,420,1.0
1733102593.2441514,421,1.0
1733102594.7114937,422,1.0
1733102596.1406813,423,1.0
1733102597.6394818,424,1.0
1733102599.085141,425,1.0
1733102600.600985,426,1.0
1733102602.0954049,427,1.0
1733102603.5594027,428,1.0
1733102605.002339,429,1.0
1733102606.5032735,430,1.0
1733102607.96687,431,1.0
1733102609.386298,432,1.0
1733102610.7690535,433,1.0
1733102612.2369235,434,1.0
1733102613.6694384,435,1.0
