Wall time,Step,Value
1733101983.8334057,0,0.0
1733101985.3541467,1,0.0
1733101986.8034573,2,0.0
1733101988.2562354,3,0.0
1733101989.7073722,4,0.0
1733101991.1686544,5,0.0
1733101992.5979161,6,0.0
1733101994.0917673,7,0.0
1733101995.5988288,8,0.0
1733101997.0316784,9,0.0
1733101998.5102928,10,0.0
1733101999.9766912,11,0.0
1733102001.4348783,12,0.0
1733102002.9532914,13,0.0
1733102004.4486208,14,0.0
1733102005.9115224,15,0.0
1733102007.359324,16,0.0
1733102008.8041823,17,0.0
1733102010.3173182,18,0.0
1733102011.7996426,19,0.0
1733102013.243431,20,0.0
1733102014.7721245,21,0.0
1733102016.319238,22,0.0
1733102017.7502897,23,0.0
1733102020.6609669,25,0.0
1733102022.077794,26,0.0
1733102023.5817564,27,0.0
1733102025.077314,28,0.0
1733102026.562812,29,0.0
1733102028.0441408,30,0.0
1733102029.5342932,31,0.0
1733102030.9540935,32,0.0
1733102032.323596,33,0.0
1733102033.872518,34,0.0
1733102035.320639,35,0.0
1733102036.764902,36,0.0
1733102038.2353773,37,0.0
1733102039.7244263,38,0.0
1733102041.2149992,39,0.0
1733102042.637843,40,0.0
1733102044.106318,41,0.0
1733102045.6124918,42,0.0
1733102047.0686433,43,0.0
1733102048.4925585,44,0.0
1733102049.9662828,45,0.0
1733102051.4651635,46,0.0
1733102052.9436693,47,0.0
1733102054.3579838,48,0.0
1733102055.8631363,49,0.0
1733102057.3587534,50,0.0
1733102058.8113039,51,0.0
1733102060.2056632,52,0.0
1733102061.6521232,53,0.0
1733102063.1589737,54,0.0
1733102064.6292653,55,0.0
1733102066.0464394,56,0.0
1733102067.5235589,57,0.0
1733102068.983828,58,0.0
1733102070.4558213,59,0.0
1733102071.8996923,60,0.0
1733102073.3486326,61,0.0
1733102074.8030984,62,0.0
1733102076.2293,63,0.0
1733102077.706184,64,0.0
1733102079.25466,65,0.0
1733102080.7607183,66,0.0
1733102082.1869247,67,0.0
1733102083.6212785,68,0.0
1733102085.0610204,69,0.0
1733102086.4813635,70,0.0
1733102087.9322777,71,0.0
1733102089.4102244,72,0.0
1733102090.8395746,73,0.0
1733102092.3548646,74,0.0
1733102093.8139687,75,0.0
1733102095.2304404,76,0.0
1733102096.6017103,77,0.0
1733102098.0667527,78,0.0
1733102099.5658996,79,0.0
1733102101.0730417,80,0.0
1733102102.548848,81,0.0
1733102104.0485282,82,0.0
1733102105.485547,83,0.0
1733102106.9413664,84,0.0
1733102108.4280121,85,0.0
1733102109.8638408,86,0.29281046986579895
1733102111.2506392,87,0.0
1733102112.7917285,88,0.0
1733102114.375964,89,0.0
1733102115.8582451,90,0.0
1733102117.3404994,91,0.0
1733102118.831748,92,0.0
1733102120.2988696,93,0.0
1733102121.7927346,94,0.0
1733102123.2751434,95,0.0
1733102124.7329092,96,0.0
1733102126.1669238,97,0.0
1733102127.5886765,98,0.0
1733102129.0480072,99,0.0
1733102130.4999168,100,0.0
1733102131.9920352,101,0.0
1733102133.4906075,102,0.0
1733102134.945604,103,0.0
1733102136.395957,104,0.0
1733102137.8457289,105,0.0
1733102139.3146975,106,0.0
1733102140.8246903,107,0.0
1733102142.2587066,108,0.0
1733102143.734382,109,0.0
1733102145.2143826,110,0.0
1733102146.6664927,111,0.0
1733102148.1099207,112,0.0
1733102149.572425,113,0.0
1733102151.021735,114,0.0
1733102152.4940038,115,0.0
1733102153.950373,116,0.0
1733102155.4432092,117,0.0
1733102156.8887815,118,0.0
1733102158.3789105,119,0.0
1733102159.8477244,120,0.0
1733102161.2913797,121,0.10065359622240067
1733102162.772318,122,0.0
1733102164.2105086,123,0.0
1733102165.703438,124,0.0
1733102167.14189,125,0.0
1733102168.583384,126,0.0
1733102170.0875971,127,0.0
1733102171.538452,128,0.0
1733102173.023883,129,0.0
1733102174.529942,130,0.0
1733102175.9405541,131,0.0
1733102177.3616421,132,0.0
1733102178.7791967,133,0.0
1733102180.2241998,134,0.0
1733102181.6827507,135,0.0
1733102183.1482098,136,0.0
1733102184.629761,137,0.0
1733102186.0926943,138,0.0
1733102187.570041,139,0.0
1733102189.0005527,140,0.0
1733102190.4616082,141,0.0
1733102191.9731686,142,0.0
1733102193.4061248,143,0.0
1733102194.8206449,144,0.0
1733102196.29096,145,0.0
1733102197.746367,146,0.0
1733102199.2207108,147,0.0
1733102200.747756,148,0.0
1733102202.2053416,149,0.0
1733102203.7174487,150,0.0
1733102205.1868873,151,0.0
1733102206.6527026,152,0.0
1733102208.1594946,153,0.0
1733102209.6550834,154,0.0
1733102211.1069567,155,0.0
1733102212.5157318,156,0.0
1733102214.0519235,157,0.0
1733102215.616236,158,0.0
1733102217.024844,159,0.0
1733102218.4466066,160,0.0
1733102219.9063342,161,0.0
1733102221.3549957,162,0.0
1733102222.8374035,163,0.0
1733102224.3012412,164,0.0
1733102225.7193527,165,0.0
1733102227.1630435,166,0.0
1733102228.6240954,167,0.0
1733102230.102598,168,0.0
1733102231.5413241,169,0.0
1733102232.9729466,170,0.0
1733102234.3886678,171,0.0
1733102235.844427,172,0.0
1733102237.3604681,173,0.0
1733102238.8824072,174,0.0
1733102240.3758676,175,0.0
1733102241.8279653,176,0.0
1733102243.2609677,177,0.0
1733102244.7413793,178,0.0
1733102246.2070203,179,0.0
1733102247.5992155,180,0.0
1733102249.0681794,181,0.0
1733102250.4803948,182,0.0
1733102251.9691062,183,0.0
1733102253.4069211,184,0.0
1733102254.884136,185,0.0
1733102256.3644357,186,0.0
1733102257.8436468,187,0.0
1733102259.289193,188,0.0
1733102260.7465022,189,0.0
1733102262.132315,190,0.0
1733102263.6124141,191,0.0
1733102265.0542264,192,0.0
1733102266.6275325,193,0.0
1733102268.1263213,194,0.0
1733102269.604038,195,0.0
1733102271.1221366,196,0.0
1733102272.5714698,197,0.0
1733102273.9717472,198,0.0
1733102275.4228733,199,0.0
1733102276.8186104,200,0.0
1733102278.2165363,201,0.0
1733102279.7065642,202,0.0
1733102281.0457351,203,0.0
1733102282.2582278,204,0.0
1733102283.5191305,205,0.0
1733102284.7622087,206,0.0
1733102286.028517,207,0.0
1733102287.2066233,208,0.0
1733102288.4212277,209,0.0
1733102289.6516495,210,0.0
1733102290.8652642,211,0.0
1733102292.1069832,212,0.0
1733102293.376648,213,0.0
1733102294.6071255,214,0.0
1733102295.8050516,215,0.0
1733102296.8911774,216,0.0
1733102298.0042384,217,0.0
1733102299.1243892,218,0.0
1733102300.2566717,219,0.0
1733102301.390106,220,0.0
1733102302.5135052,221,0.0
1733102303.6623204,222,0.0
1733102304.7366333,223,0.0
1733102305.8419166,224,0.0
1733102306.9564366,225,0.0
1733102308.144133,226,0.0
1733102309.4307194,227,0.0
1733102310.7074418,228,0.0
1733102311.966377,229,0.0
1733102313.2303686,230,0.0
1733102314.405109,231,0.0
1733102315.642016,232,0.0
1733102316.8748157,233,0.0
1733102318.1438148,234,0.0
1733102319.40352,235,0.0
1733102320.8654523,236,0.0
1733102322.4070194,237,0.0
1733102323.9028692,238,0.0
1733102325.4768808,239,0.0
1733102327.1016839,240,0.0
1733102328.5847402,241,0.0
1733102330.041613,242,0.0
1733102331.4895577,243,0.0
1733102332.962504,244,0.0
1733102334.4636974,245,0.0
1733102335.9494033,246,0.0
1733102337.4396124,247,0.0
1733102338.9185503,248,0.0
1733102340.3750615,249,0.29281046986579895
1733102341.7935946,250,0.0
1733102343.2520487,251,0.0
1733102344.6521535,252,0.0
1733102346.1786547,253,0.0
1733102347.763993,254,0.0
1733102349.3543406,255,0.0
1733102350.8424146,256,0.0
1733102352.2893898,257,0.0
1733102353.7480357,258,0.0
1733102355.194551,259,0.0
1733102356.6142895,260,0.0
1733102358.0259178,261,0.0
