Wall time,Step,Value
1733098834.283589,0,9.018390301207546e-06
1733098835.154952,1,1.167533264379017e-05
1733098836.2331057,2,1.0575739906926174e-05
1733098837.398085,3,1.3832311196892988e-05
1733098838.6732888,4,1.5823829016881064e-05
1733098839.8407848,5,6.310957360255998e-06
1733098841.0906014,6,1.5560593965346925e-05
1733098842.3880997,7,9.675215551396832e-06
1733098843.7346911,8,1.206051638291683e-05
1733098844.8516185,9,1.1720338989107404e-05
1733098845.9160323,10,1.1159793757542502e-05
1733098847.0323646,11,1.2504301594162825e-05
1733098848.189672,12,5.181621418159921e-06
1733098849.2914212,13,1.1686584002745803e-05
1733098850.4057944,14,1.3637171832669992e-05
1733098851.5239067,15,0.022136075422167778
1733098852.6638277,16,9.018390301207546e-06
1733098853.795341,17,1.1822885426227003e-05
1733098854.9254732,18,6.864730494271498e-06
1733098856.1309361,19,1.0830656719917897e-05
1733098857.2723024,20,7.772136996209156e-06
1733098858.3963966,21,1.3039521036262158e-06
1733098859.5000882,22,0.0003043071483261883
1733098860.6587164,23,8.655709279992152e-06
1733098863.0229447,25,1.0578653018455952e-05
1733098864.136758,26,8.673742740938906e-06
1733098865.2607234,27,0.00010664982255548239
1733098866.4110022,28,1.1686584002745803e-05
1733098867.5733654,29,3.1395553378388286e-05
1733098868.7536044,30,1.110000357584795e-05
1733098869.9196491,31,8.986455213744193e-06
1733098871.012067,32,7.543840638390975e-06
1733098872.2220368,33,1.2122030966565944e-05
1733098873.3882987,34,7.547777386207599e-06
1733098874.6322389,35,1.1381699550838675e-05
1733098875.8590186,36,1.1686584002745803e-05
1733098876.9917653,37,7.01324734109221e-06
1733098878.0891907,38,8.146069376380183e-06
1733098879.2271001,39,8.431349669990595e-06
1733098880.3591378,40,0.003059816313907504
1733098881.536367,41,0.0006340800318866968
1733098882.7464356,42,1.0869644029298797e-05
1733098884.0070596,43,7.5815323725692e-06
1733098885.212989,44,7.032837402221048e-06
1733098886.4074633,45,7.058253231662093e-06
1733098887.5817142,46,7.805891073076054e-06
1733098888.750832,47,8.042173249123152e-06
1733098889.86395,48,0.0002914777141995728
1733098890.9874759,49,6.654052413068712e-06
1733098892.1428602,50,1.1801309483416844e-05
1733098893.2113314,51,1.2504301594162825e-05
1733098894.329879,52,1.518301542091649e-05
1733098895.5474496,53,7.772136996209156e-06
1733098896.7292051,54,0.00018112047109752893
1733098897.9382555,55,1.474771761422744e-05
1733098899.0552337,56,9.029641660163179e-06
1733098900.1715593,57,1.119333683163859e-05
1733098901.3259046,58,8.967900612333324e-06
1733098902.673085,59,1.0715046300902031e-05
1733098903.8485126,60,1.336576315225102e-05
1733098905.0334337,61,9.018390301207546e-06
1733098906.1599028,62,9.806351044971962e-06
1733098907.2955067,63,1.2495963346736971e-05
1733098908.4925127,64,8.443060323770624e-06
1733098909.6202846,65,7.760885637253523e-06
1733098910.756813,66,9.401913303008769e-06
1733098911.9915233,67,1.9607025024015456e-05
1733098913.1947727,68,1.1720338989107404e-05
1733098914.344817,69,7.472991001122864e-06
1733098915.4587848,70,9.675215551396832e-06
1733098916.5804644,71,6.775475867470959e-06
1733098917.744789,72,8.146069376380183e-06
1733098918.8785548,73,1.2706091183645185e-05
1733098920.0388515,74,7.772911339998245e-05
1733098921.2366464,75,7.772911339998245e-05
1733098922.432934,76,7.536526027251966e-06
1733098923.4833345,77,1.03461388789583e-05
1733098924.6104202,78,1.0572653081908356e-05
1733098925.8065698,79,1.034424622048391e-05
