Wall time,Step,Value
1733101914.9509768,0,0.0
1733101916.3910854,1,0.0
1733101917.8571272,2,0.0
1733101919.2862687,3,0.0
1733101920.6966527,4,0.0
1733101922.1210651,5,0.0
1733101923.5599728,6,0.0
1733101925.0117366,7,0.0
1733101926.3767974,8,0.0
1733101927.7485225,9,0.0
1733101929.15133,10,0.0
1733101930.5805123,11,0.0
1733101931.9883635,12,0.0
1733101933.3655741,13,0.0
1733101934.8044164,14,0.0
1733101936.24743,15,0.0
1733101937.661621,16,0.0
1733101939.043294,17,0.0
1733101940.4842918,18,0.0
1733101942.0018153,19,0.0
1733101943.4123783,20,0.0
1733101944.8203323,21,0.0
1733101946.2204115,22,0.0
1733101947.5870967,23,0.0
1733101950.3947926,25,0.0
1733101951.835052,26,0.0
1733101953.2437935,27,0.0
1733101954.7741425,28,0.0
1733101956.2107635,29,0.0
1733101957.6012356,30,0.0
1733101958.9961295,31,0.0
1733101960.4377153,32,0.0
1733101961.9182107,33,0.0
1733101963.3568873,34,0.0
1733101964.868772,35,0.0
1733101966.217079,36,0.0
1733101967.613561,37,0.0
1733101969.003742,38,0.0
1733101970.4294925,39,0.0
1733101971.840762,40,0.0
1733101973.2369723,41,0.0
1733101974.6312377,42,0.0
1733101976.065905,43,0.0
1733101977.564338,44,0.0
1733101979.0639617,45,0.0
1733101980.4747918,46,0.0
1733101981.8889482,47,0.0
1733101983.3189573,48,0.0
1733101984.7296474,49,0.0
1733101986.2372758,50,0.0
1733101987.7238362,51,0.0
1733101989.2021494,52,0.0
1733101990.674281,53,0.0
1733101992.1184874,54,0.0
1733101993.6017244,55,0.0
1733101995.0713782,56,0.0
1733101996.5236783,57,0.0
1733101998.012455,58,0.0
1733101999.460753,59,0.0
1733102000.9276948,60,0.0
1733102002.503391,61,0.0
1733102003.966346,62,0.0
1733102005.426687,63,0.0
1733102006.8623714,64,0.0
1733102008.3149002,65,0.0
1733102009.701173,66,0.0
1733102011.1792006,67,0.0
1733102012.6490648,68,0.0
1733102014.0962641,69,0.0
1733102015.6435742,70,0.0
1733102017.156075,71,0.0
1733102018.6832504,72,0.0
1733102020.1666698,73,0.0
1733102021.6064417,74,0.0
1733102022.9879563,75,0.0
1733102024.4986794,76,0.0
1733102025.981733,77,0.0
1733102027.5081372,78,0.0
1733102028.9804275,79,0.0
1733102030.4802098,80,0.0
1733102031.8802598,81,0.0
1733102033.4586203,82,0.0
1733102034.9747338,83,0.0
1733102036.4479477,84,0.0
1733102037.8986447,85,0.0
1733102039.397679,86,0.0
1733102040.8745651,87,0.0
1733102042.334142,88,0.0
1733102043.8259516,89,0.0
1733102045.3700206,90,0.0
1733102046.8130696,91,0.0
1733102048.2489018,92,0.0
1733102049.7310908,93,0.0
1733102051.1656024,94,0.0
1733102052.6411428,95,0.0
1733102054.0833948,96,0.0
1733102055.5625186,97,0.0
1733102056.9965532,98,0.0
1733102058.4767048,99,0.0
1733102059.9039316,100,0.0
1733102061.342234,101,0.0
1733102062.7840078,102,0.0
1733102064.2305543,103,0.0
1733102065.7327764,104,0.0
1733102067.204945,105,0.0
1733102068.6856272,106,0.0
1733102070.143957,107,0.0
1733102071.6032758,108,0.0
