Wall time,Step,Value
1733101524.3987584,0,0.0
1733101524.6577094,1,0.0
1733101524.9481523,2,0.0
1733101525.2400815,3,0.0
1733101525.5326908,4,0.0
1733101525.8328035,5,0.0
1733101526.1348815,6,0.0
1733101526.4249268,7,0.0
1733101526.7073932,8,0.0
1733101526.9546344,9,0.0
1733101527.205211,10,0.0
1733101527.568914,11,0.0
1733101527.8209925,12,0.0
1733101528.1926088,13,0.0
1733101528.4541361,14,0.0
1733101528.7160602,15,0.0
1733101528.9851508,16,0.0
1733101529.2468379,17,0.0
1733101529.5156384,18,0.0
1733101529.781057,19,0.0
1733101530.0309112,20,0.0
1733101530.274841,21,0.0
1733101530.5184193,22,0.0
1733101530.7634718,23,0.0
1733101531.2527812,25,0.0
1733101531.5057342,26,0.0
1733101531.7514567,27,0.0
1733101532.031268,28,0.0
1733101532.3282003,29,0.0
1733101532.591945,30,0.0
1733101532.8760903,31,0.0
1733101533.1598759,32,0.0
1733101533.4391818,33,0.0
1733101533.7077312,34,0.0
1733101533.9924889,35,0.0
1733101534.274219,36,0.0
1733101534.567181,37,0.0
1733101534.8690772,38,0.0
1733101535.1649508,39,0.0
1733101535.4545295,40,0.0
1733101535.746005,41,0.0
1733101536.0147288,42,0.0
1733101536.241876,43,0.0
1733101536.4703991,44,0.0
1733101536.7049358,45,0.0
1733101536.947759,46,0.0
1733101537.1921105,47,0.0
1733101537.431546,48,0.0
1733101537.6725054,49,0.0
1733101537.9119992,50,0.0
1733101538.1520133,51,0.0
1733101538.3849185,52,0.0
1733101538.6215649,53,0.0
1733101538.8614948,54,0.0
1733101539.0965166,55,0.0
1733101539.3307543,56,0.0
1733101539.5690732,57,0.0
1733101539.8098917,58,0.0
1733101540.037301,59,0.0
1733101540.270058,60,0.0
1733101540.5033004,61,0.0
1733101540.7360013,62,0.0
1733101540.963954,63,0.0
1733101541.1973517,64,0.0
1733101541.4295964,65,0.0
1733101541.6663747,66,0.0
1733101541.892121,67,0.0
1733101542.121287,68,0.0
1733101542.348085,69,0.0
1733101542.5756853,70,0.0
1733101542.8023717,71,0.0
1733101543.0284932,72,0.0
1733101543.265195,73,0.0
1733101543.4926157,74,0.0
1733101543.7258906,75,0.0
1733101543.9524584,76,0.0
1733101544.1925337,77,0.0
1733101544.4203694,78,0.0
1733101544.6550672,79,0.0
1733101544.8840709,80,0.0
1733101545.1151595,81,0.0
1733101545.351495,82,0.0
1733101545.5815904,83,0.0
1733101545.8157163,84,0.0
1733101546.0519276,85,0.0
1733101546.283444,86,0.0
1733101546.5173206,87,0.0
1733101546.7498653,88,0.0
1733101546.978648,89,0.0
1733101547.2201707,90,0.0
1733101547.4756885,91,0.0
1733101547.7073042,92,0.0
1733101547.9632294,93,0.0
1733101548.1974993,94,0.0
1733101548.4375021,95,0.0
1733101548.6662283,96,0.0
1733101548.904974,97,0.0
1733101549.1362693,98,0.0
1733101549.379602,99,0.0
1733101549.6109202,100,0.0
1733101549.849194,101,0.0
1733101550.0840955,102,0.0
1733101550.3204918,103,0.0
1733101550.5564346,104,0.0
1733101550.7968283,105,0.0
1733101551.0272317,106,0.0
1733101551.2589865,107,0.0
1733101551.4952505,108,0.0
1733101551.7270179,109,0.0
1733101551.9572592,110,0.0
1733101552.188224,111,0.0
1733101552.4242163,112,0.0
1733101552.6561453,113,0.0
1733101552.8855147,114,0.0
1733101553.1137319,115,0.0
1733101553.346683,116,0.0
1733101553.5788534,117,0.0
1733101553.8091443,118,0.0
1733101554.0442357,119,0.0
1733101554.2774942,120,0.0
1733101554.516227,121,0.0
1733101554.7544417,122,0.0
1733101554.9873626,123,0.0
1733101555.2212584,124,0.0
1733101555.4529395,125,0.0
1733101555.6863358,126,0.0
1733101555.9184508,127,0.0
1733101556.150863,128,0.0
1733101556.383433,129,0.0
1733101556.6169665,130,0.0
1733101556.8533325,131,0.0
1733101557.0834332,132,0.0
1733101557.3167849,133,0.0
1733101557.5479348,134,0.0
1733101557.779301,135,0.0
1733101558.0116656,136,0.0
1733101558.243443,137,0.0
1733101558.4639156,138,0.0
1733101558.684663,139,0.0
1733101558.9164193,140,0.0
1733101559.1348033,141,0.0
1733101559.3560455,142,0.0
1733101559.5775437,143,0.0
1733101559.8107429,144,0.0
1733101560.0321274,145,0.0
1733101560.2577794,146,0.0
1733101560.477597,147,0.0
1733101560.7067902,148,0.0
1733101560.9351387,149,0.0
1733101561.163115,150,0.0
1733101561.386535,151,0.0
1733101561.614063,152,0.0
1733101561.8471766,153,0.0
1733101562.081192,154,0.0
1733101562.3138824,155,0.0
1733101562.5467818,156,0.0
1733101562.7779932,157,0.0
1733101563.007196,158,0.0
1733101563.2440944,159,0.0
1733101563.4759812,160,0.0
1733101563.7278678,161,0.0
1733101564.0161188,162,0.0
1733101564.2731078,163,0.0
1733101564.5317934,164,0.0
1733101564.7950397,165,0.0
1733101565.036024,166,0.0
1733101565.2787213,167,0.0
1733101565.5159476,168,0.0
1733101565.7454956,169,0.0
1733101565.9757051,170,0.0
1733101566.2079325,171,0.0
1733101566.4409182,172,0.0
1733101566.6720371,173,0.0
1733101566.9025114,174,0.0
1733101567.1321447,175,0.0
1733101567.360918,176,0.0
1733101567.5977247,177,0.0
1733101567.8269756,178,0.0
1733101568.0534992,179,0.0
1733101568.2811131,180,0.0
1733101568.5077863,181,0.0
1733101568.7363312,182,0.0
1733101568.9598448,183,0.0
1733101569.1892638,184,0.0
1733101569.423547,185,0.0
1733101569.6602557,186,0.0
1733101569.9177506,187,0.0
1733101570.1508558,188,0.0
1733101570.3819325,189,0.0
1733101570.614717,190,0.0
1733101570.839411,191,0.0
1733101571.067781,192,0.0
1733101571.295622,193,0.0
1733101571.525999,194,0.0
1733101571.757586,195,0.0
1733101572.0088918,196,0.0
1733101572.2335594,197,0.0
1733101572.4587917,198,0.0
1733101572.685148,199,0.0
1733101572.9090528,200,0.0
1733101573.1334271,201,0.0
1733101573.3631804,202,0.0
1733101573.5975463,203,0.0
1733101573.825738,204,0.0
1733101574.0577316,205,0.0
1733101574.2962444,206,0.0
1733101574.5415308,207,0.0
1733101574.7822213,208,0.0
1733101575.0191033,209,0.0
1733101575.25627,210,0.0
1733101575.4928315,211,0.0
1733101575.730154,212,0.0
1733101575.9617336,213,0.0
1733101576.1994905,214,0.0
1733101576.436081,215,0.0
1733101576.6608434,216,0.0
1733101576.8864794,217,0.0
1733101577.109439,218,0.0
1733101577.3339415,219,0.0
1733101577.5566242,220,0.0
1733101577.7790072,221,0.0
1733101578.0073817,222,0.0
1733101578.2360713,223,0.0
1733101578.4733806,224,0.0
1733101578.7030723,225,0.0
1733101578.932239,226,0.0
1733101579.1636875,227,0.0
1733101579.38996,228,0.0
1733101579.6173449,229,0.0
1733101579.8516881,230,0.0
1733101580.0852833,231,0.0
1733101580.3171628,232,0.0
1733101580.5556273,233,0.0
1733101580.7938588,234,0.0
1733101581.0373335,235,0.0
1733101581.2739644,236,0.0
1733101581.5158908,237,0.0
1733101581.7508605,238,0.0
1733101581.9849696,239,0.0
1733101582.2240145,240,0.0
1733101582.460408,241,0.0
1733101582.6990259,242,0.0
1733101582.9368865,243,0.0
1733101583.173943,244,0.0
1733101583.4111881,245,0.0
1733101583.6476796,246,0.0
1733101583.885919,247,0.0
1733101584.118834,248,0.0
1733101584.358229,249,0.0
1733101584.5981991,250,0.0
1733101584.8369882,251,0.0
1733101585.075402,252,0.0
1733101585.3170772,253,0.0
1733101585.5575817,254,0.0
1733101585.8037174,255,0.0
1733101586.0491273,256,0.0
1733101586.287869,257,0.0
1733101586.6560466,258,0.0
1733101586.8939345,259,0.0
1733101587.142597,260,0.0
1733101587.3806088,261,0.0
1733101587.6207745,262,0.0
1733101587.8655958,263,0.0
1733101588.1050675,264,0.0
1733101588.3449726,265,0.0
1733101588.578828,266,0.0
1733101588.8167794,267,0.0
1733101589.0571156,268,0.0
1733101589.305643,269,0.0
1733101589.5451806,270,0.0
1733101589.7825756,271,0.0
1733101590.0210595,272,0.0
1733101590.258224,273,0.0
1733101590.4929953,274,0.0
1733101590.730729,275,0.0
1733101590.9682074,276,0.0
1733101591.2052906,277,0.0
1733101591.4482148,278,0.0
1733101591.6864743,279,0.0
1733101591.9243803,280,0.0
1733101592.1614244,281,0.0
1733101592.398043,282,0.0
1733101592.632311,283,0.0
1733101592.8698452,284,0.0
1733101593.107814,285,0.0
1733101593.3459482,286,0.0
1733101593.5871823,287,0.0
1733101593.8245509,288,0.0
1733101594.0629785,289,0.0
1733101594.3017957,290,0.0
1733101594.5395763,291,0.0
1733101594.7781696,292,0.0
1733101595.016423,293,0.0
1733101595.2508154,294,0.0
1733101595.4892678,295,0.0
1733101595.727393,296,0.0
1733101595.9785278,297,0.0
1733101596.2153997,298,0.0
1733101596.4709687,299,0.0
1733101596.7302,300,0.0
1733101596.9703598,301,0.0
1733101597.2078779,302,0.0
1733101597.4448712,303,0.0
1733101597.6828086,304,0.0
1733101597.9198458,305,0.0
1733101598.1594915,306,0.0
1733101598.3989003,307,0.0
1733101598.6356807,308,0.0
1733101598.873527,309,0.0
1733101599.1053207,310,0.0
1733101599.3436003,311,0.0
1733101599.5814805,312,0.0
1733101599.8193848,313,0.0
1733101600.0568283,314,0.0
1733101600.313174,315,0.0
1733101600.5508115,316,0.0
1733101600.7868183,317,0.0
1733101601.0189583,318,0.0
1733101601.2494574,319,0.0
1733101601.4985583,320,0.0
1733101601.73708,321,0.0
1733101601.974876,322,0.0
1733101602.2127872,323,0.0
1733101602.4697256,324,0.0
1733101602.7244298,325,0.0
1733101602.9808748,326,0.0
1733101603.2193801,327,0.0
1733101603.4553607,328,0.0
1733101603.688269,329,0.0
1733101603.9262323,330,0.0
1733101604.1639314,331,0.0
1733101604.4013822,332,0.0
1733101604.657896,333,0.0
1733101604.8952308,334,0.0
1733101605.1341894,335,0.0
1733101605.3724287,336,0.0
1733101605.6071994,337,0.0
1733101605.8441808,338,0.0
1733101606.078376,339,0.0
1733101606.310181,340,0.0
1733101606.5624444,341,0.0
1733101606.8146887,342,0.0
1733101607.0365531,343,0.0
1733101607.268349,344,0.0
1733101607.488211,345,0.0
1733101607.7132952,346,0.0
1733101607.9334676,347,0.0
1733101608.1664484,348,0.0
1733101608.4016485,349,0.0
1733101608.6266105,350,0.0
1733101608.8591034,351,0.0
1733101609.0828614,352,0.0
1733101609.3099537,353,0.0
1733101609.527855,354,0.0
1733101609.748192,355,0.0
1733101609.974729,356,0.0
1733101610.201337,357,0.0
1733101610.428626,358,0.0
1733101610.6540601,359,0.0
1733101610.885097,360,0.0
1733101611.1204193,361,0.0
1733101611.347557,362,0.0
1733101611.5750356,363,0.0
1733101611.7996194,364,0.0
1733101612.0287347,365,0.0
1733101612.2550623,366,0.0
1733101612.481693,367,0.0
1733101612.7055826,368,0.0
1733101612.9255316,369,0.0
1733101613.1704571,370,0.0
1733101613.4025948,371,0.0
1733101613.630403,372,0.0
1733101613.856595,373,0.0
1733101614.0774467,374,0.0
1733101614.3065963,375,0.0
1733101614.5323904,376,0.0
1733101614.7521126,377,0.0
1733101614.9811225,378,0.0
1733101615.2100391,379,0.0
1733101615.445122,380,0.0
1733101615.6700685,381,0.0
1733101615.8965569,382,0.0
1733101616.1152766,383,0.0
1733101616.3397746,384,0.0
1733101616.5602684,385,0.0
1733101616.7801745,386,0.0
1733101617.0137682,387,0.0
1733101617.2499907,388,0.0
1733101617.4879308,389,0.0
1733101617.7414608,390,0.0
1733101617.9708936,391,0.0
1733101618.1963217,392,0.0
1733101618.4243746,393,0.0
1733101618.6605225,394,0.0
1733101618.9005802,395,0.0
1733101619.139762,396,0.0
1733101619.380314,397,0.0
1733101619.6205637,398,0.0
1733101619.8612556,399,0.0
1733101620.1018522,400,0.0
