Wall time,Step,Value
1733092757.7973366,0,1.2706091183645185e-05
1733092758.016176,1,9.298646546085365e-06
1733092758.2345767,2,8.986455213744193e-06
1733092758.4465628,3,1.3619813216791954e-05
1733092758.6578033,4,1.2650504686462227e-05
1733092758.8694973,5,1.0561401722952724e-05
1733092759.079954,6,8.677912774146535e-06
1733092759.2917423,7,1.2068854630342685e-05
1733092759.502629,8,7.805891073076054e-06
1733092759.713153,9,8.673742740938906e-06
1733092759.923527,10,1.2973972843610682e-05
1733092760.1337855,11,7.114510935934959e-06
1733092760.3487854,12,8.644457921036519e-06
1733092760.561347,13,9.331401088275015e-06
1733092760.7717717,14,8.655709279992152e-06
1733092760.9827175,15,6.924474746483611e-06
1733092761.1934252,16,1.0803011718962807e-05
1733092761.403522,17,1.172809334093472e-05
1733092761.613694,18,9.74497652350692e-06
1733092761.8241627,19,1.2122030966565944e-05
1733092762.0380285,20,7.503559027099982e-05
1733092762.2482717,21,6.344712346617598e-06
1733092762.4590533,22,1.3600615602626931e-05
1733092762.6699166,23,1.0055374332296196e-05
1733092763.091379,25,8.113765943562612e-06
1733092763.3021934,26,1.0569739970378578e-05
1733092763.5134335,27,8.986455213744193e-06
1733092763.724379,28,7.39843108021887e-06
1733092763.943005,29,7.221466148621403e-06
1733092764.1603124,30,1.0803011718962807e-05
1733092764.3849266,31,7.024498700047843e-06
1733092764.6089418,32,1.0151077731279656e-05
1733092764.8329704,33,1.0386120266048238e-05
1733092765.057065,34,7.760885637253523e-06
1733092765.280835,35,8.673742740938906e-06
1733092765.5078425,36,1.2706091183645185e-05
1733092765.7336853,37,9.32663260755362e-06
1733092765.948318,38,1.2571743354783393e-05
1733092766.157821,39,1.1462225302238949e-05
1733092766.3678179,40,1.2183411854493897e-05
1733092766.5776508,41,0.00019486781093291938
1733092766.7873385,42,1.280001197301317e-05
1733092766.997843,43,1.3861531442671549e-05
1733092767.20804,44,1.1983575859630946e-05
1733092767.417842,45,1.1495979379105847e-05
1733092767.6407464,46,1.850613989518024e-05
1733092767.8623037,47,8.599224202043843e-06
1733092768.0714667,48,1.5018559679447208e-05
