Wall time,Step,Value
1733098834.283507,0,7.73004830989521e-06
1733098835.1548727,1,1.0007428500102833e-05
1733098836.2330272,2,9.06492005015025e-06
1733098837.3980086,3,1.1856266610266175e-05
1733098838.6732066,4,1.3563282664108556e-05
1733098839.8407063,5,5.409392088040477e-06
1733098841.0905266,6,1.333765158051392e-05
1733098842.388021,7,8.293041901197284e-06
1733098843.734613,8,1.0337585990782827e-05
1733098844.8515382,9,1.0046004717878532e-05
1733098845.9159536,10,9.565537766320631e-06
1733098847.0322738,11,1.0717973054852337e-05
1733098848.189594,12,4.441390046849847e-06
1733098849.2913308,13,1.0017072781920433e-05
1733098850.4057178,14,1.1689005077641923e-05
1733098851.5238292,15,0.018973778933286667
1733098852.663753,16,7.73004830989521e-06
1733098853.7952642,17,1.0133901923836675e-05
1733098854.9253793,18,5.884054644411663e-06
1733098856.1308246,19,9.283419785788283e-06
1733098857.2722096,20,6.6618317760003265e-06
1733098858.3963037,21,1.1176731504747295e-06
1733098859.499949,22,0.0002608346985653043
1733098860.6586375,23,7.419179382850416e-06
1733098863.0228314,25,9.067416613106616e-06
1733098864.1366801,26,7.434636245307047e-06
1733098865.2606452,27,9.141413465840742e-05
1733098866.4109244,28,1.0017072781920433e-05
1733098867.5732887,29,2.691047302505467e-05
1733098868.7535143,30,9.514288649370428e-06
1733098869.9195719,31,7.70267524785595e-06
1733098871.0119898,32,6.466148988693021e-06
1733098872.2219605,33,1.0390312127128709e-05
1733098873.3882062,34,6.46952366878395e-06
1733098874.632163,35,9.755743121786509e-06
1733098875.85894,36,1.0017072781920433e-05
1733098876.9916894,37,6.011354798829416e-06
1733098878.0891125,38,6.982344984862721e-06
1733098879.2270205,39,7.226871275634039e-06
1733098880.3590603,40,0.002622699597850442
1733098881.5362887,41,0.000543497153557837
1733098882.7463446,42,9.316838259110227e-06
1733098884.0069823,43,6.498456059489399e-06
1733098885.2129135,44,6.0281463447608985e-06
1733098886.407387,45,6.0499314713524655e-06
1733098887.5816343,46,6.690764166705776e-06
1733098888.7507517,47,6.893291811138624e-06
1733098889.8638723,48,0.0002498380490578711
1733098890.987398,49,5.703473561879946e-06
1733098892.1427803,50,1.0115408258570824e-05
1733098893.2112522,51,1.0717973054852337e-05
1733098894.329802,52,1.3014013347856235e-05
1733098895.5473723,53,6.6618317760003265e-06
1733098896.7291253,54,0.00015524611808359623
1733098897.9381738,55,1.2640900422411505e-05
1733098899.0551424,56,7.73969259171281e-06
1733098900.171449,57,9.594288712833077e-06
1733098901.3258255,58,7.686771823500749e-06
1733098902.6730068,59,9.184324881061912e-06
1733098903.8484209,60,1.1456368156359531e-05
1733098905.0333552,61,7.73004830989521e-06
1733098906.1598036,62,8.405443622905295e-06
1733098907.2954276,63,1.0710826245485805e-05
1733098908.4924366,64,7.236908913910156e-06
1733098909.620209,65,6.652187494182726e-06
1733098910.7567203,66,8.05878244136693e-06
1733098911.991448,67,1.6806021449156106e-05
1733098913.1946933,68,1.0046004717878532e-05
1733098914.3447409,69,6.405421117960941e-06
1733098915.4587054,70,8.293041901197284e-06
1733098916.580388,71,5.807550678582629e-06
1733098917.7447135,72,6.982344984862721e-06
1733098918.8784785,73,1.0890935300267301e-05
1733098920.0387743,74,6.66249543428421e-05
1733098921.236569,75,6.66249543428421e-05
1733098922.4328568,76,6.4598793869663496e-06
1733098923.4832573,77,8.868119039107114e-06
1733098924.610331,78,9.062274330062792e-06
1733098925.8064935,79,8.866496500559151e-06
1733098927.01224,80,9.385626981384121e-06
1733098928.1214797,81,1.1456368156359531e-05
1733098929.2688065,82,1.1201804227312095e-05
