Wall time,Step,Value
1733101914.9508784,0,0.0
1733101916.390993,1,0.0
1733101917.8570328,2,0.0
1733101919.2861714,3,0.0
1733101920.6965742,4,0.0
1733101922.1209757,5,0.0
1733101923.5598798,6,0.0
1733101925.0116434,7,0.0
1733101926.3767116,8,0.0
1733101927.7484362,9,0.0
1733101929.1512446,10,0.0
1733101930.580434,11,0.0
1733101931.9882636,12,0.0
1733101933.3654895,13,0.0
1733101934.8043272,14,0.0
1733101936.2473361,15,0.0
1733101937.661547,16,0.0
1733101939.0432022,17,0.0
1733101940.4842138,18,0.0
1733101942.0017257,19,0.0
1733101943.412288,20,0.0
1733101944.8202484,21,0.0
1733101946.2203164,22,0.0
1733101947.5868213,23,0.0
1733101950.3947043,25,0.0
1733101951.8349576,26,0.0
1733101953.243673,27,0.0
1733101954.7740605,28,0.0
1733101956.2106795,29,0.0
1733101957.6011448,30,0.0
1733101958.9960399,31,0.0
1733101960.4376252,32,0.0
1733101961.9181237,33,0.0
1733101963.356797,34,0.0
1733101964.8686798,35,0.0
1733101966.2169895,36,0.0
1733101967.6134863,37,0.0
1733101969.003649,38,0.0
1733101970.429415,39,0.0
1733101971.8406873,40,0.0
1733101973.23688,41,0.0
1733101974.6311464,42,0.0
1733101976.0658119,43,0.0
1733101977.5642478,44,0.0
1733101979.063871,45,0.0
1733101980.474702,46,0.0
1733101981.8888743,47,0.0
1733101983.3188834,48,0.0
1733101984.7295702,49,0.0
1733101986.2371998,50,0.0
1733101987.723731,51,0.0
1733101989.2020729,52,0.0
1733101990.6742074,53,0.0
1733101992.118411,54,0.0
1733101993.6016505,55,0.0
1733101995.0713062,56,0.0
1733101996.5236044,57,0.0
1733101998.0123816,58,0.0
1733101999.4606779,59,0.0
1733102000.9276214,60,0.0
1733102002.5033164,61,0.0
1733102003.966275,62,0.0
1733102005.4266067,63,0.0
1733102006.8622978,64,0.0
1733102008.3148253,65,0.0
1733102009.7010984,66,0.0
1733102011.1791277,67,0.0
1733102012.6489918,68,0.0
1733102014.096192,69,0.0
1733102015.6435015,70,0.0
1733102017.1560018,71,0.0
1733102018.6831467,72,0.0
1733102020.1665936,73,0.0
1733102021.6063554,74,0.0
1733102022.9878838,75,0.0
1733102024.4986048,76,0.0
1733102025.9816582,77,0.0
1733102027.508063,78,0.0
1733102028.9803514,79,0.0
1733102030.4801295,80,0.0
1733102031.8801808,81,0.0
1733102033.4585397,82,0.0
1733102034.9746544,83,0.0
1733102036.447867,84,0.0
1733102037.898563,85,0.0
1733102039.397598,86,0.0
1733102040.8744798,87,0.0
1733102042.3340628,88,0.0
1733102043.8258722,89,0.0
1733102045.3699405,90,0.0
1733102046.812988,91,0.0
1733102048.2488194,92,0.0
1733102049.7309964,93,0.0
1733102051.165521,94,0.0
1733102052.6410644,95,0.0
1733102054.0833182,96,0.0
1733102055.5624454,97,0.0
1733102056.9964767,98,0.0
1733102058.4766288,99,0.0
1733102059.903858,100,0.0
1733102061.3421583,101,0.0
1733102062.7839315,102,0.0
1733102064.2304783,103,0.0
1733102065.7327015,104,0.0
1733102067.204867,105,0.0
1733102068.6855507,106,0.0
1733102070.1438842,107,0.0
1733102071.6032033,108,0.0
1733102073.0424597,109,0.0
1733102074.513847,110,0.0
1733102075.9666946,111,0.0
1733102077.4446435,112,0.0
1733102078.9998238,113,0.0
1733102080.4758816,114,0.0
1733102081.9222963,115,0.0
1733102083.314322,116,0.0
1733102084.7382321,117,0.0
1733102086.1966603,118,0.0
1733102087.6457365,119,0.0
1733102089.1242714,120,0.0
1733102090.562286,121,0.0
1733102092.0550773,122,0.0
1733102093.5208664,123,0.0
1733102094.9436524,124,0.0
1733102096.34384,125,0.0
1733102097.797931,126,0.0
1733102099.263311,127,0.0
1733102100.7068315,128,0.0
1733102102.2341459,129,0.0
1733102103.72404,130,0.0
1733102105.172306,131,0.0
1733102106.6573951,132,0.0
1733102108.0961542,133,0.0
1733102109.5808766,134,0.0
1733102111.0247455,135,0.0
1733102112.5628169,136,0.0
1733102114.1281557,137,0.0
1733102115.6804798,138,0.0
1733102117.216785,139,0.0
1733102118.7105682,140,0.0
1733102120.2321453,141,0.0
1733102121.7056954,142,0.0
1733102123.1897917,143,0.0
1733102124.6433263,144,0.0
1733102126.110809,145,0.0
1733102127.549418,146,0.0
1733102128.9925745,147,0.0
1733102130.4330935,148,0.0
1733102131.8995314,149,0.0
1733102133.3485603,150,0.0
1733102134.8714373,151,0.0
1733102136.3157225,152,0.0
1733102137.697964,153,0.0
1733102139.1901636,154,0.0
1733102140.6477628,155,0.0
1733102142.1256466,156,0.0
1733102143.5649524,157,0.0
1733102145.0439923,158,0.0
1733102146.5743573,159,0.0
1733102148.0152273,160,0.0
1733102149.4883308,161,0.0
1733102150.9409645,162,0.0
1733102152.3844616,163,0.0
1733102153.8564866,164,0.0
1733102155.3597634,165,0.0
1733102156.843371,166,0.0
1733102158.3076568,167,0.0
1733102159.744082,168,0.0
1733102161.1415749,169,0.0
1733102162.6358466,170,0.0
1733102164.114681,171,0.0
1733102165.586351,172,0.0
1733102167.0704424,173,0.0
1733102168.5155084,174,0.0
1733102169.9767969,175,0.0
1733102171.4577115,176,0.0
1733102172.937521,177,0.0
1733102174.3830981,178,0.0
1733102175.822345,179,0.0
1733102177.2525387,180,0.0
1733102178.682987,181,0.0
1733102180.162691,182,0.0
1733102181.6200874,183,0.0
1733102183.0939548,184,0.0
1733102184.5256042,185,0.0
1733102185.9931324,186,0.0
1733102187.4845643,187,0.0
1733102188.9266882,188,0.0
1733102190.3272588,189,0.0
1733102191.7961237,190,0.0
1733102193.2701902,191,0.0
1733102194.7429824,192,0.0
1733102196.186332,193,0.0
1733102197.6540997,194,0.0
1733102199.1394815,195,0.0
1733102200.6020741,196,0.0
1733102202.098667,197,0.0
1733102203.4941723,198,0.0
1733102204.9248703,199,0.0
1733102206.4091308,200,0.0
1733102207.8750114,201,0.0
1733102209.3454475,202,0.0
1733102210.7840009,203,0.0
1733102212.212501,204,0.0
1733102213.6194267,205,0.0
1733102215.1803768,206,0.0
1733102216.6834054,207,0.0
1733102218.1396694,208,0.0
1733102219.548225,209,0.0
1733102221.0346107,210,0.0
1733102222.528449,211,0.0
1733102223.9791403,212,0.0
1733102225.4098496,213,0.0
1733102226.8390427,214,0.0
1733102228.3040936,215,0.0
1733102229.7680843,216,0.0
1733102231.2276976,217,0.0
1733102232.6722274,218,0.0
1733102234.0723386,219,0.0
1733102235.557564,220,0.0
1733102237.0435567,221,0.0
1733102238.5512767,222,0.0
1733102240.0723658,223,0.0
1733102241.5338829,224,0.0
1733102242.940097,225,0.0
1733102244.4391232,226,0.0
1733102245.898583,227,0.0
1733102247.2960405,228,0.0
1733102248.7547605,229,0.0
1733102250.1795216,230,0.0
1733102251.68023,231,0.0
1733102253.1275105,232,0.0
1733102254.5513546,233,0.0
1733102256.0430186,234,0.0
1733102257.511952,235,0.0
1733102258.9687133,236,0.0
1733102260.458789,237,0.0
1733102261.8855505,238,0.0
1733102263.3339272,239,0.0
1733102264.8161218,240,0.0
1733102266.362166,241,0.0
1733102267.8374383,242,0.0
1733102269.3064654,243,0.0
1733102270.7647588,244,0.0
1733102272.2644722,245,0.0
1733102273.7005997,246,0.0
1733102275.159431,247,0.0
1733102276.5442858,248,0.0
1733102277.9583461,249,0.0
1733102279.3798654,250,0.0
1733102280.7635174,251,0.0
1733102281.9961665,252,0.0
1733102283.241858,253,0.0
1733102284.4912066,254,6.782187119824812e-05
1733102285.7475972,255,0.0
1733102286.9577272,256,0.0
1733102288.1270099,257,0.0
1733102289.3397589,258,0.0
1733102290.6023188,259,0.0
1733102291.836075,260,0.0
1733102293.1005354,261,0.0
1733102294.3533762,262,0.0
1733102295.5632498,263,0.0
1733102296.691102,264,0.0
1733102297.8120635,265,0.0
1733102298.9034257,266,0.0
1733102300.0336614,267,0.0
1733102301.1565301,268,0.0
1733102302.2650323,269,0.0
1733102303.3788476,270,0.0
1733102304.4681878,271,0.0
1733102305.620524,272,0.0
1733102306.7274594,273,0.0
1733102307.9194314,274,0.0
1733102309.192802,275,0.0
1733102310.4343996,276,0.0
1733102311.6781652,277,0.0
1733102312.896434,278,0.0
1733102314.1440725,279,0.0
1733102315.369407,280,0.0
1733102316.6166635,281,0.0
1733102317.9274733,282,0.0
1733102319.263443,283,0.0
1733102320.6611266,284,0.0
1733102322.1972597,285,0.0
1733102323.7035167,286,0.0
1733102325.252232,287,0.0
1733102326.8705733,288,0.0
1733102328.3068187,289,0.0
1733102329.7486887,290,0.0
1733102331.170549,291,0.0
1733102332.636868,292,0.0
1733102334.1220267,293,0.0
1733102335.6191175,294,0.0
1733102337.1255286,295,0.0
1733102338.6211464,296,0.0
1733102340.0905695,297,0.0
1733102341.5361779,298,0.0
1733102342.9661689,299,0.0
1733102344.4396596,300,0.0
1733102345.9629061,301,0.0
1733102347.5400865,302,0.0
1733102349.107094,303,0.0
1733102350.57571,304,0.0
1733102352.0096607,305,0.0
1733102353.4405386,306,0.0
1733102354.8404927,307,0.0
1733102356.299359,308,0.0
1733102357.7391646,309,0.0
1733102359.2150948,310,0.0
1733102360.6929512,311,0.0
1733102362.1472178,312,0.0
1733102363.6388931,313,0.0
1733102365.1198552,314,0.0
1733102366.5667255,315,0.0
1733102368.0491478,316,0.0
1733102369.5772393,317,0.0
1733102371.1100974,318,0.0
1733102372.5146723,319,0.0
1733102373.9582443,320,0.0
1733102375.387423,321,0.0
1733102376.8998334,322,0.0
1733102378.3533664,323,0.0
1733102379.8332427,324,0.0
1733102381.3165052,325,0.0
1733102382.7546306,326,0.0
1733102384.3016033,327,0.0
1733102385.8028717,328,0.0
1733102387.25007,329,0.0
1733102388.7577658,330,0.0
1733102390.273491,331,0.0
1733102391.736636,332,0.0
1733102393.2794352,333,0.0
1733102394.7273657,334,0.0
1733102396.1791928,335,0.0
1733102397.6386104,336,0.0
1733102399.059767,337,0.0
1733102400.489397,338,0.0
1733102401.9362156,339,0.0
1733102403.409696,340,0.0
1733102404.9033506,341,0.0
1733102406.3914702,342,0.0
1733102407.892092,343,0.0
1733102409.3512325,344,0.0
1733102410.8870852,345,0.0
1733102412.367487,346,0.0
1733102413.7756562,347,0.0
1733102415.2865658,348,0.0
1733102416.6893442,349,0.0
1733102418.1647797,350,0.0
1733102419.64911,351,0.0
1733102421.1154249,352,0.0
1733102422.5818794,353,0.0
1733102424.07133,354,0.0
1733102425.5506303,355,0.0
1733102427.051952,356,0.0
1733102428.475258,357,0.0
1733102430.0201797,358,0.0
1733102431.500845,359,0.0
1733102432.9494832,360,0.0
1733102434.472832,361,0.0
1733102436.054557,362,0.0
1733102437.5798562,363,0.0
1733102439.0516777,364,0.0
1733102440.5182369,365,0.0
1733102441.971152,366,0.0
1733102443.418626,367,0.0
1733102444.9296045,368,0.0
1733102446.3456116,369,0.0
1733102447.7819295,370,0.0
1733102449.2257276,371,0.0
1733102450.6667938,372,0.0
1733102452.1627963,373,0.0
1733102453.6128917,374,0.0
1733102455.0484898,375,0.0
1733102456.5233822,376,0.0
1733102457.9760623,377,0.0
1733102459.4081628,378,0.0
1733102460.9534855,379,0.0
1733102462.4411306,380,0.0
1733102463.9353335,381,0.0
1733102465.3958595,382,0.0
1733102466.8330622,383,0.0
1733102468.2759447,384,0.0
1733102469.7425058,385,0.0
1733102471.2272327,386,0.0
1733102472.792451,387,0.0
1733102474.3496761,388,0.0
1733102475.7840044,389,0.0
1733102477.2225194,390,0.0
1733102478.708389,391,0.0
