Wall time,Step,Value
1733092757.797256,0,1.0890935300267301e-05
1733092758.0161002,1,7.970268598000985e-06
1733092758.234504,2,7.70267524785595e-06
1733092758.4464867,3,1.1674124834826216e-05
1733092758.6577294,4,1.0843289601325523e-05
1733092758.869419,5,9.052630048245192e-06
1733092759.0798774,6,7.438211014232365e-06
1733092759.2916682,7,1.0344732800149359e-05
1733092759.5025492,8,6.690764166705776e-06
1733092759.7130804,9,7.434636245307047e-06
1733092759.9234521,10,1.1120548151666299e-05
1733092760.1337113,11,6.098152425693115e-06
1733092760.3487115,12,7.409535101032816e-06
1733092760.5612721,13,7.998343789950013e-06
1733092760.7716987,14,7.419179382850416e-06
1733092760.982643,15,5.935264198342338e-06
1733092761.1933494,16,9.259724720322993e-06
1733092761.4034429,17,1.005265221465379e-05
1733092761.6136174,18,8.352837539860047e-06
1733092761.8240838,19,1.0390312127128709e-05
1733092762.0379515,20,6.431622023228556e-05
1733092762.2481928,21,5.438324478745926e-06
1733092762.4589646,22,1.165767025668174e-05
1733092762.6698434,23,8.618892024969682e-06
1733092763.0913033,25,6.9546567829092965e-06
1733092763.302119,26,9.059776857611723e-06
1733092763.5133548,27,7.70267524785595e-06
1733092763.7243054,28,6.34151228950941e-06
1733092763.9429305,29,6.189828127389774e-06
1733092764.1602347,30,9.259724720322993e-06
1733092764.3848493,31,6.020999080647016e-06
1733092764.6088657,32,8.700923899596091e-06
1733092764.832896,33,8.902388799469918e-06
1733092765.056987,34,6.652187494182726e-06
1733092765.2807574,35,7.434636245307047e-06
1733092765.5077639,36,1.0890935300267301e-05
1733092765.7336092,37,7.994256520760246e-06
1733092765.9482398,38,1.0775780538097024e-05
1733092766.157744,39,9.824764674704056e-06
1733092766.3677444,40,1.044292457663687e-05
1733092766.5775762,41,0.00016702954599168152
1733092766.787263,42,1.097143831430003e-05
1733092766.9977655,43,1.18813131848583e-05
1733092767.207962,44,1.0271635801473167e-05
1733092767.4177685,45,9.853696610662155e-06
1733092767.6406558,46,1.5862406144151464e-05
1733092767.8622282,47,7.370763341896236e-06
1733092768.071392,48,1.2873050764028449e-05
1733092768.2809327,49,4.4858743422082625e-06
1733092768.4911761,50,7.419179382850416e-06
1733092768.7006903,51,4.083212843397632e-05
1733092768.9103515,52,8.696045370015781e-06
1733092769.1232965,53,1.1620867553574499e-05
1733092769.333221,54,0.00012699540820904076
1733092769.5432036,55,7.73969259171281e-06
1733092769.766899,56,9.062274330062792e-06
1733092769.9800072,57,7.73969259171281e-06
1733092770.1896863,58,6.621333341172431e-06
1733092770.4097862,59,7.73969259171281e-06
1733092770.6348505,60,1.0881291018449701e-05
1733092770.8447447,61,8.603910828242078e-06
1733092771.0545409,62,1.1696151887008455e-05
1733092771.2671304,63,0.00029481842648237944
1733092771.482917,64,1.0890935300267301e-05
1733092771.7019699,65,1.0017072781920433e-05
1733092771.9224424,66,9.61108071351191e-06
1733092772.1396298,67,7.686771823500749e-06
1733092772.356335,68,6.160408247524174e-06
1733092772.5723732,69,9.06492005015025e-06
1733092772.786758,70,5.905844318476738e-06
1733092773.0045767,71,8.54760583024472e-06
1733092773.2204616,72,5.828690973430639e-06
1733092773.437293,73,7.73969259171281e-06
1733092773.6548872,74,1.5256466213031672e-05
1733092773.8698165,75,8.265565156762023e-06
1733092774.0842352,76,4.893196091870777e-06
1733092774.297872,77,7.419179382850416e-06
1733092774.5173771,78,6.46952366878395e-06
1733092774.7464886,79,1.0344732800149359e-05
1733092774.9605503,80,1.0786304301291239e-05
1733092775.1749084,81,1.1620867553574499e-05
1733092775.405468,82,4.893196091870777e-06
1733092775.6389377,83,1.0890935300267301e-05
1733092775.869887,84,6.636881153099239e-06
1733092776.1061437,85,3.78722652385477e-05
1733092776.3169134,86,8.293041901197284e-06
1733092776.5268314,87,7.409535101032816e-06
1733092776.736695,88,1.0582505638012663e-05
1733092776.9469748,89,1.0327941708965227e-05
1733092777.1569936,90,1.0747489795903675e-05
1733092777.3668993,91,1.0890935300267301e-05
1733092777.5781193,92,7.419179382850416e-06
1733092777.788618,93,7.4263266469642986e-06
1733092777.9984097,94,7.409535101032816e-06
1733092778.2086937,95,6.668979040114209e-06
1733092778.418636,96,8.603910828242078e-06
1733092778.6449857,97,0.0008665095665492117
1733092778.8707736,98,1.09198672362254e-05
1733092779.0819175,99,1.0890935300267301e-05
1733092779.2964509,100,2.6133080609724857e-05
1733092779.5064397,101,7.4263266469642986e-06
1733092779.7199285,102,1.1924589671252761e-05
1733092779.9306774,103,7.224374257930322e-06
1733092780.14073,104,4.337082827987615e-06
1733092780.356308,105,1.1924589671252761e-05
1733092780.5804203,106,7.673743311897852e-06
1733092780.8036838,107,6.0281463447608985e-06
1733092781.0273006,108,2.1468890736286994e-06
1733092781.2372563,109,7.73969259171281e-06
1733092781.451816,110,9.61108071351191e-06
1733092781.6619473,111,9.61108071351191e-06
1733092781.8720157,112,1.0582505638012663e-05
1733092782.0824387,113,8.609247743152082e-06
1733092782.2921891,114,9.096349458559416e-06
1733092782.5019684,115,7.472637662431225e-06
1733092782.7115667,116,7.031188488326734e-06
1733092782.9210267,117,9.259724720322993e-06
