Wall time,Step,Value
1733101524.398718,0,0.0
1733101524.657682,1,0.0
1733101524.948124,2,0.0
1733101525.240044,3,0.0
1733101525.5326507,4,0.0
1733101525.832765,5,0.0
1733101526.1348403,6,0.0
1733101526.424878,7,0.0
1733101526.7073677,8,0.0
1733101526.954584,9,0.0
1733101527.2051885,10,0.0
1733101527.5688827,11,0.0
1733101527.8209631,12,0.0
1733101528.192586,13,0.0
1733101528.4541054,14,0.0
1733101528.71603,15,0.0
1733101528.9851248,16,0.0
1733101529.2468007,17,0.0
1733101529.5156114,18,0.0
1733101529.7810292,19,0.0
1733101530.030883,20,0.0
1733101530.2748137,21,0.0
1733101530.518386,22,0.0
1733101530.763436,23,0.0
1733101531.2527544,25,0.0
1733101531.5057087,26,0.0
1733101531.7514222,27,0.0
1733101532.0312304,28,0.0
1733101532.3281717,29,0.0
1733101532.5919197,30,0.0
1733101532.8760555,31,0.0
1733101533.1598384,32,0.0
1733101533.4391441,33,0.0
1733101533.7077045,34,0.0
1733101533.9924536,35,0.0
1733101534.2741892,36,0.0
1733101534.567151,37,0.0
1733101534.8690393,38,0.0
1733101535.1649132,39,0.0
1733101535.4545035,40,0.0
1733101535.745974,41,0.0
1733101536.0147064,42,0.0
1733101536.241854,43,0.0
1733101536.4703636,44,0.0
1733101536.7049072,45,0.0
1733101536.94773,46,0.0
1733101537.1920855,47,0.0
1733101537.4315195,48,0.0
1733101537.6724787,49,0.0
1733101537.9119737,50,0.0
1733101538.1519866,51,0.0
1733101538.3848946,52,0.0
1733101538.6215427,53,0.0
1733101538.8614671,54,0.0
1733101539.0964901,55,0.0
1733101539.3307283,56,0.0
1733101539.569051,57,0.0
1733101539.8098648,58,0.0
1733101540.037279,59,0.0
1733101540.2700355,60,0.0
1733101540.5032752,61,0.0
1733101540.7359753,62,0.0
1733101540.963926,63,0.0
1733101541.1973298,64,0.0
1733101541.4295738,65,0.0
1733101541.6663485,66,0.0
1733101541.8920925,67,0.0
1733101542.1212652,68,0.0
1733101542.3480575,69,0.0
1733101542.5756595,70,0.0
1733101542.8023486,71,0.0
1733101543.0284634,72,0.0
1733101543.2651727,73,0.0
1733101543.4925938,74,0.0
1733101543.7258687,75,0.0
1733101543.9524283,76,0.0
1733101544.1925077,77,0.0
1733101544.4203358,78,0.0
1733101544.6550395,79,0.0
1733101544.8840454,80,0.0
1733101545.1151338,81,0.0
1733101545.3514693,82,0.0
1733101545.5815635,83,0.0
1733101545.8156905,84,0.0
1733101546.0519013,85,0.0
1733101546.2834165,86,0.0
1733101546.5172946,87,0.0
1733101546.7498424,88,0.0
1733101546.978616,89,0.0
1733101547.2201428,90,0.0
1733101547.4756596,91,0.0
1733101547.7072775,92,0.0
1733101547.9632025,93,0.0
1733101548.1974719,94,0.0
1733101548.4374802,95,0.0
1733101548.666203,96,0.0
1733101548.904952,97,0.0
1733101549.136241,98,0.0
1733101549.3795753,99,0.0
1733101549.6108928,100,0.0
1733101549.8491678,101,0.0
1733101550.0840697,102,0.0
1733101550.3204644,103,0.0
1733101550.556404,104,0.0
1733101550.7968018,105,0.0
1733101551.0272052,106,0.0
1733101551.2589529,107,0.0
1733101551.4952226,108,0.0
1733101551.7269917,109,0.0
1733101551.957237,110,0.0
1733101552.188198,111,0.0
1733101552.4241893,112,0.0
1733101552.6561196,113,0.0
1733101552.885493,114,0.0
1733101553.1137104,115,0.0
1733101553.3466568,116,0.0
1733101553.578832,117,0.0
1733101553.8091218,118,0.0
1733101554.044209,119,0.0
1733101554.2774625,120,0.0
1733101554.5161996,121,0.0
1733101554.754419,122,0.0
